Month,Count,Direction,CLPR,Visa,Citizenship
2001-12-01,0,Arrivals,Philippines,Student,Non-New Zealand
2001-12-01,113,Arrivals,Philippines,TOTAL,Non-New Zealand
2001-12-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2001-12-01,0,Arrivals,Philippines,Work,Non-New Zealand
2002-01-01,4,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2002-01-01,135,Arrivals,Philippines,Other,Non-New Zealand
2002-01-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2002-01-01,0,Arrivals,Philippines,Student,Non-New Zealand
2002-01-01,139,Arrivals,Philippines,TOTAL,Non-New Zealand
2002-01-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2002-01-01,0,Arrivals,Philippines,Work,Non-New Zealand
2002-02-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2002-02-01,130,Arrivals,Philippines,Other,Non-New Zealand
2002-02-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2002-02-01,0,Arrivals,Philippines,Student,Non-New Zealand
2002-02-01,130,Arrivals,Philippines,TOTAL,Non-New Zealand
2002-02-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2002-02-01,0,Arrivals,Philippines,Work,Non-New Zealand
2002-03-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2002-03-01,126,Arrivals,Philippines,Other,Non-New Zealand
2002-03-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2002-03-01,0,Arrivals,Philippines,Student,Non-New Zealand
2002-03-01,126,Arrivals,Philippines,TOTAL,Non-New Zealand
2002-03-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2002-03-01,0,Arrivals,Philippines,Work,Non-New Zealand
2002-04-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2002-04-01,119,Arrivals,Philippines,Other,Non-New Zealand
2002-04-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2002-04-01,0,Arrivals,Philippines,Student,Non-New Zealand
2002-04-01,119,Arrivals,Philippines,TOTAL,Non-New Zealand
2002-04-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2002-04-01,0,Arrivals,Philippines,Work,Non-New Zealand
2002-05-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2002-05-01,134,Arrivals,Philippines,Other,Non-New Zealand
2002-05-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2002-05-01,0,Arrivals,Philippines,Student,Non-New Zealand
2002-05-01,134,Arrivals,Philippines,TOTAL,Non-New Zealand
2002-05-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2002-05-01,0,Arrivals,Philippines,Work,Non-New Zealand
2002-06-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2002-06-01,121,Arrivals,Philippines,Other,Non-New Zealand
2002-06-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2002-06-01,0,Arrivals,Philippines,Student,Non-New Zealand
2002-06-01,121,Arrivals,Philippines,TOTAL,Non-New Zealand
2002-06-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2002-06-01,0,Arrivals,Philippines,Work,Non-New Zealand
2002-07-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2002-07-01,121,Arrivals,Philippines,Other,Non-New Zealand
2002-07-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2002-07-01,0,Arrivals,Philippines,Student,Non-New Zealand
2002-07-01,121,Arrivals,Philippines,TOTAL,Non-New Zealand
2002-07-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2002-07-01,0,Arrivals,Philippines,Work,Non-New Zealand
2002-08-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2002-08-01,106,Arrivals,Philippines,Other,Non-New Zealand
2002-08-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2002-08-01,0,Arrivals,Philippines,Student,Non-New Zealand
2002-08-01,106,Arrivals,Philippines,TOTAL,Non-New Zealand
2002-08-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2002-08-01,0,Arrivals,Philippines,Work,Non-New Zealand
2002-09-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2002-09-01,132,Arrivals,Philippines,Other,Non-New Zealand
2002-09-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2002-09-01,0,Arrivals,Philippines,Student,Non-New Zealand
2002-09-01,132,Arrivals,Philippines,TOTAL,Non-New Zealand
2002-09-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2002-09-01,0,Arrivals,Philippines,Work,Non-New Zealand
2002-10-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2002-10-01,174,Arrivals,Philippines,Other,Non-New Zealand
2002-10-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2002-10-01,0,Arrivals,Philippines,Student,Non-New Zealand
2002-10-01,174,Arrivals,Philippines,TOTAL,Non-New Zealand
2002-10-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2002-10-01,0,Arrivals,Philippines,Work,Non-New Zealand
2002-11-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2002-11-01,168,Arrivals,Philippines,Other,Non-New Zealand
2002-11-01,0,Arrivals,Philippines,Residence,Non-New Zealand
