Month,Count,Direction,Visa
2001-01-01,0,Arrivals,Residence
2001-02-01,0,Arrivals,Residence
2001-03-01,0,Arrivals,Residence
2001-04-01,0,Arrivals,Residence
2001-05-01,0,Arrivals,Residence
2001-06-01,0,Arrivals,Residence
2001-07-01,0,Arrivals,Residence
2001-08-01,0,Arrivals,Residence
2001-09-01,0,Arrivals,Residence
2001-10-01,0,Arrivals,Residence
2001-11-01,0,Arrivals,Residence
2001-12-01,0,Arrivals,Residence
2002-01-01,0,Arrivals,Residence
2002-02-01,0,Arrivals,Residence
2002-03-01,0,Arrivals,Residence
2002-04-01,0,Arrivals,Residence
2002-05-01,0,Arrivals,Residence
2002-06-01,0,Arrivals,Residence
2002-07-01,0,Arrivals,Residence
2002-08-01,0,Arrivals,Residence
2002-09-01,0,Arrivals,Residence
2002-10-01,0,Arrivals,Residence
2002-11-01,0,Arrivals,Residence
2002-12-01,0,Arrivals,Residence
2003-01-01,0,Arrivals,Residence
2003-02-01,0,Arrivals,Residence
2003-03-01,0,Arrivals,Residence
2003-04-01,0,Arrivals,Residence
2003-05-01,0,Arrivals,Residence
2003-06-01,0,Arrivals,Residence
2003-07-01,1894,Arrivals,Residence
2003-08-01,1926,Arrivals,Residence
2003-09-01,1741,Arrivals,Residence
2003-10-01,1829,Arrivals,Residence
2003-11-01,1834,Arrivals,Residence
2003-12-01,1692,Arrivals,Residence
2004-01-01,2100,Arrivals,Residence
2004-02-01,1744,Arrivals,Residence
2004-03-01,1235,Arrivals,Residence
2004-04-01,1103,Arrivals,Residence
2004-05-01,1217,Arrivals,Residence
2004-06-01,1160,Arrivals,Residence
2004-07-01,1449,Arrivals,Residence
2004-08-01,1213,Arrivals,Residence
2004-09-01,1403,Arrivals,Residence
2004-10-01,1247,Arrivals,Residence
2004-11-01,1355,Arrivals,Residence
2004-12-01,1451,Arrivals,Residence
2005-01-01,1845,Arrivals,Residence
2005-02-01,1477,Arrivals,Residence
2005-03-01,1302,Arrivals,Residence
2005-04-01,1484,Arrivals,Residence
