"Financial Year","Decision Type","Nationality","Occupation Skill Level","Count"
"2015/16","Approved","Afghanistan","(not recorded)",132
"2015/16","Approved","Afghanistan","Skill level 1",3
"2015/16","Approved","Afghanistan","Skill level 3",3
"2015/16","Approved","Albania","(not recorded)",9
"2015/16","Approved","Albania","Skill level 2",0
"2015/16","Approved","Albania","Skill level 3",6
"2015/16","Approved","Algeria","(not recorded)",12
"2015/16","Approved","Algeria","Skill level 1",0
"2015/16","Approved","Algeria","Skill level 2",3
"2015/16","Approved","American Samoa","(not recorded)",3
"2015/16","Approved","Andorra","(not recorded)",3
"2015/16","Approved","Angola","(not recorded)",0
"2015/16","Approved","Antigua & Barbuda","Skill level 1",3
"2015/16","Approved","Argentina","(not recorded)",1614
"2015/16","Approved","Argentina","Skill level 1",153
"2015/16","Approved","Argentina","Skill level 2",90
"2015/16","Approved","Argentina","Skill level 3",75
"2015/16","Approved","Argentina","Skill level 4",57
"2015/16","Approved","Argentina","Skill level 5",183
"2015/16","Approved","Armenia","(not recorded)",9
"2015/16","Approved","Armenia","Skill level 1",6
"2015/16","Approved","Armenia","Skill level 3",0
"2015/16","Approved","Australia","(not recorded)",0
"2015/16","Approved","Australia","Skill level 1",0
"2015/16","Approved","Austria","(not recorded)",168
"2015/16","Approved","Austria","Skill level 1",30
"2015/16","Approved","Austria","Skill level 2",30
"2015/16","Approved","Austria","Skill level 3",51
"2015/16","Approved","Austria","Skill level 4",9
"2015/16","Approved","Austria","Skill level 5",27
"2015/16","Approved","Azerbaijan","(not recorded)",3
"2015/16","Approved","Bahrain","(not recorded)",3
"2015/16","Approved","Bangladesh","(not recorded)",372
"2015/16","Approved","Bangladesh","Skill level 1",18
"2015/16","Approved","Bangladesh","Skill level 2",54
"2015/16","Approved","Bangladesh","Skill level 3",72
"2015/16","Approved","Bangladesh","Skill level 4",42
"2015/16","Approved","Bangladesh","Skill level 5",6
"2015/16","Approved","Barbados","(not recorded)",0
"2015/16","Approved","Barbados","Skill level 1",0
"2015/16","Approved","Belarus","(not recorded)",18
"2015/16","Approved","Belarus","Skill level 1",6
"2015/16","Approved","Belarus","Skill level 3",3
"2015/16","Approved","Belarus","Skill level 4",3
"2015/16","Approved","Belarus","Skill level 5",3
"2015/16","Approved","Belgium","(not recorded)",744
"2015/16","Approved","Belgium","Skill level 1",45
"2015/16","Approved","Belgium","Skill level 2",9
"2015/16","Approved","Belgium","Skill level 3",6
"2015/16","Approved","Belgium","Skill level 4",6
"2015/16","Approved","Belgium","Skill level 5",3
"2015/16","Approved","Benin","(not recorded)",3
"2015/16","Approved","Bermuda","Skill level 1",0
"2015/16","Approved","Bhutan","(not recorded)",6
"2015/16","Approved","Bolivia","(not recorded)",3
"2015/16","Approved","Bolivia","Skill level 2",0
"2015/16","Approved","Bosnia & Herzegovina","(not recorded)",6
"2015/16","Approved","Botswana","(not recorded)",6
"2015/16","Approved","Botswana","Skill level 3",3
"2015/16","Approved","Brazil","(not recorded)",1116
"2015/16","Approved","Brazil","Skill level 1",285
"2015/16","Approved","Brazil","Skill level 2",168
"2015/16","Approved","Brazil","Skill level 3",327
"2015/16","Approved","Brazil","Skill level 4",114
"2015/16","Approved","Brazil","Skill level 5",417
"2015/16","Approved","Brunei Darussalam","(not recorded)",6
"2015/16","Approved","Brunei Darussalam","Skill level 1",3
"2015/16","Approved","Bulgaria","(not recorded)",30
"2015/16","Approved","Bulgaria","Skill level 1",12
"2015/16","Approved","Bulgaria","Skill level 2",3
"2015/16","Approved","Bulgaria","Skill level 3",9
"2015/16","Approved","Bulgaria","Skill level 4",6
"2015/16","Approved","Bulgaria","Skill level 5",9
"2015/16","Approved","Burkina Faso","(not recorded)",3
"2015/16","Approved","Burundi","(not recorded)",3
"2015/16","Approved","Cambodia","(not recorded)",267
"2015/16","Approved","Cambodia","Skill level 1",6
"2015/16","Approved","Cambodia","Skill level 2",15
"2015/16","Approved","Cambodia","Skill level 3",12
"2015/16","Approved","Cambodia","Skill level 4",6
"2015/16","Approved","Cambodia","Skill level 5",0
"2015/16","Approved","Cameroon","(not recorded)",9
"2015/16","Approved","Cameroon","Skill level 1",0
"2015/16","Approved","Canada","(not recorded)",3195
"2015/16","Approved","Canada","Skill level 1",456
"2015/16","Approved","Canada","Skill level 2",84
"2015/16","Approved","Canada","Skill level 3",120
"2015/16","Approved","Canada","Skill level 4",87
"2015/16","Approved","Canada","Skill level 5",33
"2015/16","Approved","Cape Verde","(not recorded)",3
"2015/16","Approved","Chad","(not recorded)",6
"2015/16","Approved","Chile","(not recorded)",1542
"2015/16","Approved","Chile","Skill level 1",156
"2015/16","Approved","Chile","Skill level 2",93
"2015/16","Approved","Chile","Skill level 3",108
"2015/16","Approved","Chile","Skill level 4",45
"2015/16","Approved","Chile","Skill level 5",204
"2015/16","Approved","China","(not recorded)",10734
"2015/16","Approved","China","Skill level 1",2952
"2015/16","Approved","China","Skill level 2",2340
"2015/16","Approved","China","Skill level 3",732
"2015/16","Approved","China","Skill level 4",4860
"2015/16","Approved","China","Skill level 5",249
"2015/16","Approved","Colombia","(not recorded)",186
"2015/16","Approved","Colombia","Skill level 1",54
"2015/16","Approved","Colombia","Skill level 2",30
"2015/16","Approved","Colombia","Skill level 3",15
"2015/16","Approved","Colombia","Skill level 4",9
"2015/16","Approved","Colombia","Skill level 5",27
"2015/16","Approved","Congo","(not recorded)",3
"2015/16","Approved","Congo","Skill level 1",0
"2015/16","Approved","Costa Rica","(not recorded)",0
"2015/16","Approved","Costa Rica","Skill level 1",6
"2015/16","Approved","Costa Rica","Skill level 3",0
"2015/16","Approved","Costa Rica","Skill level 4",3
"2015/16","Approved","Costa Rica","Skill level 5",0
"2015/16","Approved","Croatia","(not recorded)",147
"2015/16","Approved","Croatia","Skill level 1",21
"2015/16","Approved","Croatia","Skill level 2",12
"2015/16","Approved","Croatia","Skill level 3",33
"2015/16","Approved","Croatia","Skill level 4",9
"2015/16","Approved","Croatia","Skill level 5",3
"2015/16","Approved","Cuba","(not recorded)",6
"2015/16","Approved","Cuba","Skill level 4",0
"2015/16","Approved","Cyprus","(not recorded)",0
"2015/16","Approved","Cyprus","Skill level 1",3
"2015/16","Approved","Cyprus","Skill level 2",0
"2015/16","Approved","Cyprus","Skill level 3",0
"2015/16","Approved","Czech Republic","(not recorded)",1791
"2015/16","Approved","Czech Republic","Skill level 1",75
"2015/16","Approved","Czech Republic","Skill level 2",57
"2015/16","Approved","Czech Republic","Skill level 3",126
"2015/16","Approved","Czech Republic","Skill level 4",72
"2015/16","Approved","Czech Republic","Skill level 5",105
"2015/16","Approved","Democratic Republic of Congo","(not recorded)",3
"2015/16","Approved","Denmark","(not recorded)",513
"2015/16","Approved","Denmark","Skill level 1",81
"2015/16","Approved","Denmark","Skill level 2",15
"2015/16","Approved","Denmark","Skill level 3",18
"2015/16","Approved","Denmark","Skill level 4",30
"2015/16","Approved","Denmark","Skill level 5",12
"2015/16","Approved","Dominican Republic","(not recorded)",3
"2015/16","Approved","Dominican Republic","Skill level 1",3
"2015/16","Approved","Ecuador","(not recorded)",9
"2015/16","Approved","Ecuador","Skill level 1",9
"2015/16","Approved","Ecuador","Skill level 4",3
"2015/16","Approved","Ecuador","Skill level 5",3
"2015/16","Approved","Egypt","(not recorded)",57
"2015/16","Approved","Egypt","Skill level 1",30
"2015/16","Approved","Egypt","Skill level 2",6
"2015/16","Approved","Egypt","Skill level 3",6
"2015/16","Approved","Egypt","Skill level 4",0
"2015/16","Approved","Egypt","Skill level 5",3
"2015/16","Approved","El Salvador","(not recorded)",0
"2015/16","Approved","El Salvador","Skill level 1",0
"2015/16","Approved","El Salvador","Skill level 2",3
"2015/16","Approved","El Salvador","Skill level 3",3
"2015/16","Approved","Eritrea","(not recorded)",12
"2015/16","Approved","Estonia","(not recorded)",147
"2015/16","Approved","Estonia","Skill level 1",6
"2015/16","Approved","Estonia","Skill level 2",6
"2015/16","Approved","Estonia","Skill level 3",9
"2015/16","Approved","Estonia","Skill level 4",9
"2015/16","Approved","Estonia","Skill level 5",12
"2015/16","Approved","Ethiopia","(not recorded)",51
"2015/16","Approved","Ethiopia","Skill level 1",0
"2015/16","Approved","Federated States of Micronesia","Skill level 1",3
"2015/16","Approved","Federated States of Micronesia","Skill level 4",6
"2015/16","Approved","Fiji","(not recorded)",2556
"2015/16","Approved","Fiji","Skill level 1",261
"2015/16","Approved","Fiji","Skill level 2",300
"2015/16","Approved","Fiji","Skill level 3",927
"2015/16","Approved","Fiji","Skill level 4",1053
"2015/16","Approved","Fiji","Skill level 5",180
"2015/16","Approved","Finland","(not recorded)",420
"2015/16","Approved","Finland","Skill level 1",27
"2015/16","Approved","Finland","Skill level 2",6
"2015/16","Approved","Finland","Skill level 3",12
"2015/16","Approved","Finland","Skill level 4",12
"2015/16","Approved","Finland","Skill level 5",6
"2015/16","Approved","France","(not recorded)",10500
"2015/16","Approved","France","Skill level 1",510
"2015/16","Approved","France","Skill level 2",222
"2015/16","Approved","France","Skill level 3",216
"2015/16","Approved","France","Skill level 4",168
"2015/16","Approved","France","Skill level 5",159
"2015/16","Approved","French Polynesia","(not recorded)",3
"2015/16","Approved","French Polynesia","Skill level 4",0
"2015/16","Approved","Gambia","(not recorded)",3
"2015/16","Approved","Gambia","Skill level 3",3
"2015/16","Approved","Georgia","(not recorded)",3
"2015/16","Approved","Georgia","Skill level 1",3
"2015/16","Approved","Georgia","Skill level 2",0
"2015/16","Approved","Germany","(not recorded)",15888
"2015/16","Approved","Germany","Skill level 1",402
"2015/16","Approved","Germany","Skill level 2",183
"2015/16","Approved","Germany","Skill level 3",270
"2015/16","Approved","Germany","Skill level 4",156
"2015/16","Approved","Germany","Skill level 5",78
"2015/16","Approved","Ghana","(not recorded)",24
"2015/16","Approved","Ghana","Skill level 1",0
"2015/16","Approved","Ghana","Skill level 3",0
"2015/16","Approved","Greece","(not recorded)",15
"2015/16","Approved","Greece","Skill level 1",24
"2015/16","Approved","Greece","Skill level 2",3
"2015/16","Approved","Greece","Skill level 3",12
"2015/16","Approved","Greece","Skill level 5",9
"2015/16","Approved","Guatemala","(not recorded)",3
"2015/16","Approved","Guatemala","Skill level 2",3
"2015/16","Approved","Guatemala","Skill level 3",0
"2015/16","Approved","Guyana","(not recorded)",3
"2015/16","Approved","Haiti","(not recorded)",3
"2015/16","Approved","Honduras","(not recorded)",3
"2015/16","Approved","Honduras","Skill level 1",3
"2015/16","Approved","Hong Kong","(not recorded)",642
"2015/16","Approved","Hong Kong","Skill level 1",90
"2015/16","Approved","Hong Kong","Skill level 2",27
"2015/16","Approved","Hong Kong","Skill level 3",27
"2015/16","Approved","Hong Kong","Skill level 4",99
"2015/16","Approved","Hong Kong","Skill level 5",18
"2015/16","Approved","Hungary","(not recorded)",198
"2015/16","Approved","Hungary","Skill level 1",45
"2015/16","Approved","Hungary","Skill level 2",12
"2015/16","Approved","Hungary","Skill level 3",27
"2015/16","Approved","Hungary","Skill level 4",15
"2015/16","Approved","Hungary","Skill level 5",15
"2015/16","Approved","Iceland","(not recorded)",6
"2015/16","Approved","Iceland","Skill level 1",9
"2015/16","Approved","Iceland","Skill level 2",0
"2015/16","Approved","Iceland","Skill level 4",6
"2015/16","Approved","India","(not recorded)",19362
"2015/16","Approved","India","Skill level 1",3366
"2015/16","Approved","India","Skill level 2",5025
"2015/16","Approved","India","Skill level 3",1185
"2015/16","Approved","India","Skill level 4",2133
"2015/16","Approved","India","Skill level 5",546
"2015/16","Approved","Indonesia","(not recorded)",750
"2015/16","Approved","Indonesia","Skill level 1",165
"2015/16","Approved","Indonesia","Skill level 2",126
"2015/16","Approved","Indonesia","Skill level 3",39
"2015/16","Approved","Indonesia","Skill level 4",543
"2015/16","Approved","Indonesia","Skill level 5",84
"2015/16","Approved","Iran","(not recorded)",261
"2015/16","Approved","Iran","Skill level 1",60
"2015/16","Approved","Iran","Skill level 2",9
"2015/16","Approved","Iran","Skill level 3",3
"2015/16","Approved","Iran","Skill level 4",0
"2015/16","Approved","Iran","Skill level 5",3
"2015/16","Approved","Iraq","(not recorded)",84
"2015/16","Approved","Iraq","Skill level 1",3
"2015/16","Approved","Ireland","(not recorded)",2169
"2015/16","Approved","Ireland","Skill level 1",525
"2015/16","Approved","Ireland","Skill level 2",165
"2015/16","Approved","Ireland","Skill level 3",378
"2015/16","Approved","Ireland","Skill level 4",312
"2015/16","Approved","Ireland","Skill level 5",99
"2015/16","Approved","Israel","(not recorded)",231
"2015/16","Approved","Israel","Skill level 1",30
"2015/16","Approved","Israel","Skill level 2",9
"2015/16","Approved","Israel","Skill level 3",9
"2015/16","Approved","Israel","Skill level 4",15
"2015/16","Approved","Israel","Skill level 5",6
"2015/16","Approved","Italy","(not recorded)",2220
"2015/16","Approved","Italy","Skill level 1",210
"2015/16","Approved","Italy","Skill level 2",186
"2015/16","Approved","Italy","Skill level 3",138
"2015/16","Approved","Italy","Skill level 4",84
"2015/16","Approved","Italy","Skill level 5",90
"2015/16","Approved","Jamaica","(not recorded)",6
"2015/16","Approved","Jamaica","Skill level 1",15
"2015/16","Approved","Jamaica","Skill level 3",12
"2015/16","Approved","Jamaica","Skill level 4",3
"2015/16","Approved","Japan","(not recorded)",3375
"2015/16","Approved","Japan","Skill level 1",402
"2015/16","Approved","Japan","Skill level 2",348
"2015/16","Approved","Japan","Skill level 3",204
"2015/16","Approved","Japan","Skill level 4",861
"2015/16","Approved","Japan","Skill level 5",102
"2015/16","Approved","Jordan","(not recorded)",39
"2015/16","Approved","Jordan","Skill level 1",9
"2015/16","Approved","Jordan","Skill level 2",27
"2015/16","Approved","Jordan","Skill level 3",24
"2015/16","Approved","Jordan","Skill level 4",6
"2015/16","Approved","Kazakhstan","(not recorded)",39
"2015/16","Approved","Kazakhstan","Skill level 1",12
"2015/16","Approved","Kazakhstan","Skill level 2",3
"2015/16","Approved","Kazakhstan","Skill level 3",3
"2015/16","Approved","Kazakhstan","Skill level 4",3
"2015/16","Approved","Kazakhstan","Skill level 5",0
"2015/16","Approved","Kenya","(not recorded)",54
"2015/16","Approved","Kenya","Skill level 1",15
"2015/16","Approved","Kenya","Skill level 2",3
"2015/16","Approved","Kenya","Skill level 3",3
"2015/16","Approved","Kenya","Skill level 4",6
"2015/16","Approved","Kenya","Skill level 5",3
"2015/16","Approved","Kiribati","(not recorded)",249
"2015/16","Approved","Kiribati","Skill level 1",9
"2015/16","Approved","Kiribati","Skill level 3",0
"2015/16","Approved","Kiribati","Skill level 4",33
"2015/16","Approved","Kiribati","Skill level 5",6
"2015/16","Approved","Kosovo - Republic of","(not recorded)",3
"2015/16","Approved","Kosovo - Republic of","Skill level 2",3
"2015/16","Approved","Kosovo - Republic of","Skill level 3",3
"2015/16","Approved","Kuwait","(not recorded)",6
"2015/16","Approved","Kuwait","Skill level 1",0
"2015/16","Approved","Kyrgyzstan","(not recorded)",3
"2015/16","Approved","Kyrgyzstan","Skill level 1",9
"2015/16","Approved","Kyrgyzstan","Skill level 3",3
"2015/16","Approved","Laos","(not recorded)",3
"2015/16","Approved","Laos","Skill level 1",0
"2015/16","Approved","Laos","Skill level 2",0
"2015/16","Approved","Laos","Skill level 3",0
"2015/16","Approved","Latvia","(not recorded)",150
"2015/16","Approved","Latvia","Skill level 1",12
"2015/16","Approved","Latvia","Skill level 2",3
"2015/16","Approved","Latvia","Skill level 3",12
"2015/16","Approved","Latvia","Skill level 4",9
"2015/16","Approved","Latvia","Skill level 5",3
"2015/16","Approved","Lebanon","(not recorded)",12
"2015/16","Approved","Lebanon","Skill level 1",6
"2015/16","Approved","Lebanon","Skill level 2",6
"2015/16","Approved","Lebanon","Skill level 3",6
"2015/16","Approved","Lesotho","(not recorded)",3
"2015/16","Approved","Lesotho","Skill level 2",0
"2015/16","Approved","Libya","(not recorded)",9
"2015/16","Approved","Libya","Skill level 2",0
"2015/16","Approved","Libya","Skill level 5",3
"2015/16","Approved","Liechtenstein","(not recorded)",0
"2015/16","Approved","Lithuania","(not recorded)",12
"2015/16","Approved","Lithuania","Skill level 1",9
"2015/16","Approved","Lithuania","Skill level 2",3
"2015/16","Approved","Lithuania","Skill level 3",12
"2015/16","Approved","Lithuania","Skill level 4",3
"2015/16","Approved","Luxembourg","(not recorded)",3
"2015/16","Approved","Luxembourg","Skill level 3",3
"2015/16","Approved","Luxembourg","Skill level 4",0
"2015/16","Approved","Macau","(not recorded)",6
"2015/16","Approved","Macau","Skill level 4",15
"2015/16","Approved","Macedonia","(not recorded)",21
"2015/16","Approved","Macedonia","Skill level 1",12
"2015/16","Approved","Macedonia","Skill level 2",9
"2015/16","Approved","Macedonia","Skill level 3",3
"2015/16","Approved","Macedonia","Skill level 4",3
"2015/16","Approved","Macedonia","Skill level 5",3
"2015/16","Approved","Madagascar","(not recorded)",0
"2015/16","Approved","Malawi","(not recorded)",6
"2015/16","Approved","Malawi","Skill level 1",3
"2015/16","Approved","Malawi","Skill level 2",0
"2015/16","Approved","Malawi","Skill level 3",0
"2015/16","Approved","Malaysia","(not recorded)",2904
"2015/16","Approved","Malaysia","Skill level 1",225
"2015/16","Approved","Malaysia","Skill level 2",177
"2015/16","Approved","Malaysia","Skill level 3",201
"2015/16","Approved","Malaysia","Skill level 4",183
"2015/16","Approved","Malaysia","Skill level 5",126
"2015/16","Approved","Maldives","(not recorded)",21
"2015/16","Approved","Maldives","Skill level 1",3
"2015/16","Approved","Maldives","Skill level 2",3
"2015/16","Approved","Mali","(not recorded)",6
"2015/16","Approved","Malta","(not recorded)",15
"2015/16","Approved","Malta","Skill level 1",0
"2015/16","Approved","Malta","Skill level 3",0
"2015/16","Approved","Marshall Islands","Skill level 4",3
"2015/16","Approved","Mauritius","(not recorded)",18
"2015/16","Approved","Mauritius","Skill level 1",6
"2015/16","Approved","Mauritius","Skill level 2",3
"2015/16","Approved","Mauritius","Skill level 3",12
"2015/16","Approved","Mauritius","Skill level 4",0
"2015/16","Approved","Mexico","(not recorded)",369
"2015/16","Approved","Mexico","Skill level 1",63
"2015/16","Approved","Mexico","Skill level 2",54
"2015/16","Approved","Mexico","Skill level 3",39
"2015/16","Approved","Mexico","Skill level 4",27
"2015/16","Approved","Mexico","Skill level 5",33
"2015/16","Approved","Moldova","(not recorded)",6
"2015/16","Approved","Moldova","Skill level 1",9
"2015/16","Approved","Moldova","Skill level 4",3
"2015/16","Approved","Moldova","Skill level 5",6
"2015/16","Approved","Mongolia","(not recorded)",3
"2015/16","Approved","Mongolia","Skill level 1",3
"2015/16","Approved","Mongolia","Skill level 2",3
"2015/16","Approved","Mongolia","Skill level 4",0
"2015/16","Approved","Morocco","(not recorded)",15
"2015/16","Approved","Morocco","Skill level 1",9
"2015/16","Approved","Morocco","Skill level 2",9
"2015/16","Approved","Morocco","Skill level 3",3
"2015/16","Approved","Morocco","Skill level 4",3
"2015/16","Approved","Mozambique","(not recorded)",0
"2015/16","Approved","Mozambique","Skill level 1",0
"2015/16","Approved","Myanmar","(not recorded)",33
"2015/16","Approved","Myanmar","Skill level 1",12
"2015/16","Approved","Myanmar","Skill level 2",3
"2015/16","Approved","Myanmar","Skill level 3",3
"2015/16","Approved","Myanmar","Skill level 4",6
"2015/16","Approved","Myanmar","Skill level 5",6
"2015/16","Approved","Namibia","(not recorded)",3
"2015/16","Approved","Namibia","Skill level 1",0
"2015/16","Approved","Namibia","Skill level 3",3
"2015/16","Approved","Nauru","(not recorded)",24
"2015/16","Approved","Nepal","(not recorded)",753
"2015/16","Approved","Nepal","Skill level 1",72
"2015/16","Approved","Nepal","Skill level 2",123
"2015/16","Approved","Nepal","Skill level 3",33
"2015/16","Approved","Nepal","Skill level 4",60
"2015/16","Approved","Nepal","Skill level 5",57
"2015/16","Approved","Netherlands","(not recorded)",1689
"2015/16","Approved","Netherlands","Skill level 1",264
"2015/16","Approved","Netherlands","Skill level 2",42
"2015/16","Approved","Netherlands","Skill level 3",81
"2015/16","Approved","Netherlands","Skill level 4",51
"2015/16","Approved","Netherlands","Skill level 5",36
"2015/16","Approved","New Caledonia","(not recorded)",3
"2015/16","Approved","Nicaragua","(not recorded)",3
"2015/16","Approved","Nicaragua","Skill level 5",3
"2015/16","Approved","Niger","Skill level 4",0
"2015/16","Approved","Nigeria","(not recorded)",75
"2015/16","Approved","Nigeria","Skill level 1",9
"2015/16","Approved","Nigeria","Skill level 2",3
"2015/16","Approved","Nigeria","Skill level 3",3
"2015/16","Approved","Nigeria","Skill level 4",6
"2015/16","Approved","Nigeria","Skill level 5",0
"2015/16","Approved","Norway","(not recorded)",111
"2015/16","Approved","Norway","Skill level 1",24
"2015/16","Approved","Norway","Skill level 2",3
"2015/16","Approved","Norway","Skill level 3",6
"2015/16","Approved","Norway","Skill level 4",3
"2015/16","Approved","Norway","Skill level 5",3
"2015/16","Approved","Oman","(not recorded)",3
"2015/16","Approved","Pakistan","(not recorded)",324
"2015/16","Approved","Pakistan","Skill level 1",75
"2015/16","Approved","Pakistan","Skill level 2",45
"2015/16","Approved","Pakistan","Skill level 3",12
"2015/16","Approved","Pakistan","Skill level 4",18
"2015/16","Approved","Palestine","(not recorded)",15
"2015/16","Approved","Palestine","Skill level 1",0
"2015/16","Approved","Panama","(not recorded)",3
"2015/16","Approved","Panama","Skill level 4",0
"2015/16","Approved","Papua New Guinea","(not recorded)",102
"2015/16","Approved","Papua New Guinea","Skill level 1",6
"2015/16","Approved","Papua New Guinea","Skill level 3",0
"2015/16","Approved","Papua New Guinea","Skill level 4",3
"2015/16","Approved","Paraguay","(not recorded)",3
"2015/16","Approved","Peru","(not recorded)",162
"2015/16","Approved","Peru","Skill level 1",18
"2015/16","Approved","Peru","Skill level 2",9
"2015/16","Approved","Peru","Skill level 3",9
"2015/16","Approved","Peru","Skill level 4",18
"2015/16","Approved","Peru","Skill level 5",6
"2015/16","Approved","Philippines","(not recorded)",5208
"2015/16","Approved","Philippines","Skill level 1",2328
"2015/16","Approved","Philippines","Skill level 2",492
"2015/16","Approved","Philippines","Skill level 3",2241
"2015/16","Approved","Philippines","Skill level 4",2061
"2015/16","Approved","Philippines","Skill level 5",999
"2015/16","Approved","Poland","(not recorded)",207
"2015/16","Approved","Poland","Skill level 1",81
"2015/16","Approved","Poland","Skill level 2",21
"2015/16","Approved","Poland","Skill level 3",54
"2015/16","Approved","Poland","Skill level 4",39
"2015/16","Approved","Poland","Skill level 5",6
"2015/16","Approved","Portugal","(not recorded)",24
"2015/16","Approved","Portugal","Skill level 1",75
"2015/16","Approved","Portugal","Skill level 2",6
"2015/16","Approved","Portugal","Skill level 3",9
"2015/16","Approved","Portugal","Skill level 4",12
"2015/16","Approved","Portugal","Skill level 5",12
"2015/16","Approved","Romania","(not recorded)",63
"2015/16","Approved","Romania","Skill level 1",36
"2015/16","Approved","Romania","Skill level 2",9
"2015/16","Approved","Romania","Skill level 3",27
"2015/16","Approved","Romania","Skill level 4",12
"2015/16","Approved","Romania","Skill level 5",6
"2015/16","Approved","Russia","(not recorded)",504
"2015/16","Approved","Russia","Skill level 1",255
"2015/16","Approved","Russia","Skill level 2",48
"2015/16","Approved","Russia","Skill level 3",78
"2015/16","Approved","Russia","Skill level 4",60
"2015/16","Approved","Russia","Skill level 5",9
"2015/16","Approved","Rwanda","(not recorded)",0
"2015/16","Approved","Samoa","(not recorded)",2247
"2015/16","Approved","Samoa","Skill level 1",21
"2015/16","Approved","Samoa","Skill level 2",18
"2015/16","Approved","Samoa","Skill level 3",39
"2015/16","Approved","Samoa","Skill level 4",111
"2015/16","Approved","Samoa","Skill level 5",114
"2015/16","Approved","Saudi Arabia","(not recorded)",57
"2015/16","Approved","Saudi Arabia","Skill level 1",3
"2015/16","Approved","Saudi Arabia","Skill level 2",0
"2015/16","Approved","Saudi Arabia","Skill level 3",0
"2015/16","Approved","Serbia","(not recorded)",36
"2015/16","Approved","Serbia","Skill level 1",15
"2015/16","Approved","Serbia","Skill level 2",9
"2015/16","Approved","Serbia","Skill level 3",33
"2015/16","Approved","Serbia","Skill level 4",6
"2015/16","Approved","Serbia","Skill level 5",0
"2015/16","Approved","Seychelles","(not recorded)",0
"2015/16","Approved","Singapore","(not recorded)",411
"2015/16","Approved","Singapore","Skill level 1",108
"2015/16","Approved","Singapore","Skill level 2",21
"2015/16","Approved","Singapore","Skill level 3",30
"2015/16","Approved","Singapore","Skill level 4",33
"2015/16","Approved","Singapore","Skill level 5",3
"2015/16","Approved","Slovakia","(not recorded)",171
"2015/16","Approved","Slovakia","Skill level 1",24
"2015/16","Approved","Slovakia","Skill level 2",9
"2015/16","Approved","Slovakia","Skill level 3",21
"2015/16","Approved","Slovakia","Skill level 4",15
"2015/16","Approved","Slovakia","Skill level 5",9
"2015/16","Approved","Slovenia","(not recorded)",135
"2015/16","Approved","Slovenia","Skill level 1",12
"2015/16","Approved","Slovenia","Skill level 2",6
"2015/16","Approved","Slovenia","Skill level 3",12
"2015/16","Approved","Slovenia","Skill level 4",15
"2015/16","Approved","Slovenia","Skill level 5",6
"2015/16","Approved","Solomon Islands","(not recorded)",669
"2015/16","Approved","Solomon Islands","Skill level 1",3
"2015/16","Approved","Solomon Islands","Skill level 2",3
"2015/16","Approved","Solomon Islands","Skill level 3",3
"2015/16","Approved","Solomon Islands","Skill level 4",3
"2015/16","Approved","Solomon Islands","Skill level 5",3
"2015/16","Approved","Somalia","(not recorded)",27
"2015/16","Approved","South Africa","(not recorded)",1632
"2015/16","Approved","South Africa","Skill level 1",885
"2015/16","Approved","South Africa","Skill level 2",294
"2015/16","Approved","South Africa","Skill level 3",699
"2015/16","Approved","South Africa","Skill level 4",174
"2015/16","Approved","South Africa","Skill level 5",75
"2015/16","Approved","South Korea","(not recorded)",4176
"2015/16","Approved","South Korea","Skill level 1",462
"2015/16","Approved","South Korea","Skill level 2",762
"2015/16","Approved","South Korea","Skill level 3",276
"2015/16","Approved","South Korea","Skill level 4",348
"2015/16","Approved","South Korea","Skill level 5",69
"2015/16","Approved","South Sudan","(not recorded)",0
"2015/16","Approved","South Sudan","Skill level 2",0
"2015/16","Approved","Spain","(not recorded)",363
"2015/16","Approved","Spain","Skill level 1",150
"2015/16","Approved","Spain","Skill level 2",33
"2015/16","Approved","Spain","Skill level 3",60
"2015/16","Approved","Spain","Skill level 4",21
"2015/16","Approved","Spain","Skill level 5",39
"2015/16","Approved","Sri Lanka","(not recorded)",1011
"2015/16","Approved","Sri Lanka","Skill level 1",243
"2015/16","Approved","Sri Lanka","Skill level 2",219
"2015/16","Approved","Sri Lanka","Skill level 3",258
"2015/16","Approved","Sri Lanka","Skill level 4",69
"2015/16","Approved","Sri Lanka","Skill level 5",60
"2015/16","Approved","St Kitts - Nevis","(not recorded)",3
"2015/16","Approved","Stateless","(not recorded)",3
"2015/16","Approved","Sudan","(not recorded)",3
"2015/16","Approved","Sudan","Skill level 1",3
"2015/16","Approved","Suriname","Skill level 2",3
"2015/16","Approved","Swaziland","(not recorded)",0
"2015/16","Approved","Sweden","(not recorded)",999
"2015/16","Approved","Sweden","Skill level 1",66
"2015/16","Approved","Sweden","Skill level 2",9
"2015/16","Approved","Sweden","Skill level 3",18
"2015/16","Approved","Sweden","Skill level 4",27
"2015/16","Approved","Sweden","Skill level 5",6
"2015/16","Approved","Switzerland","(not recorded)",93
"2015/16","Approved","Switzerland","Skill level 1",48
"2015/16","Approved","Switzerland","Skill level 2",18
"2015/16","Approved","Switzerland","Skill level 3",84
"2015/16","Approved","Switzerland","Skill level 4",18
"2015/16","Approved","Switzerland","Skill level 5",42
"2015/16","Approved","Syria","(not recorded)",27
"2015/16","Approved","Syria","Skill level 1",3
"2015/16","Approved","Syria","Skill level 3",0
"2015/16","Approved","Syria","Skill level 4",0
"2015/16","Approved","Taiwan","(not recorded)",597
"2015/16","Approved","Taiwan","Skill level 1",84
