"Financial Year","Decision Type","Nationality","Institution Type","Count"
"2015/16","Approved","Afghanistan","(not recorded)",6
"2015/16","Approved","Afghanistan","Schools",3
"2015/16","Approved","Afghanistan","Universities",3
"2015/16","Approved","Albania","(not recorded)",3
"2015/16","Approved","Albania","Private Training Establishments",3
"2015/16","Approved","Albania","Schools",3
"2015/16","Approved","Albania","Universities",3
"2015/16","Approved","Algeria","Polytechnics",3
"2015/16","Approved","Algeria","Private Training Establishments",3
"2015/16","Approved","Algeria","Universities",0
"2015/16","Approved","Andorra","Private Training Establishments",0
"2015/16","Approved","Argentina","(not recorded)",48
"2015/16","Approved","Argentina","Polytechnics",9
"2015/16","Approved","Argentina","Private Training Establishments",168
"2015/16","Approved","Argentina","Schools",33
"2015/16","Approved","Argentina","Universities",15
"2015/16","Approved","Armenia","(not recorded)",6
"2015/16","Approved","Armenia","Schools",0
"2015/16","Approved","Armenia","Universities",3
"2015/16","Approved","Austria","(not recorded)",18
"2015/16","Approved","Austria","Polytechnics",9
"2015/16","Approved","Austria","Private Training Establishments",15
"2015/16","Approved","Austria","Schools",84
"2015/16","Approved","Austria","Universities",36
"2015/16","Approved","Azerbaijan","(not recorded)",3
"2015/16","Approved","Bahrain","Private Training Establishments",3
"2015/16","Approved","Bahrain","Universities",0
"2015/16","Approved","Bangladesh","(not recorded)",18
"2015/16","Approved","Bangladesh","Polytechnics",60
"2015/16","Approved","Bangladesh","Private Training Establishments",297
"2015/16","Approved","Bangladesh","Schools",30
"2015/16","Approved","Bangladesh","Universities",96
"2015/16","Approved","Barbados","Universities",3
"2015/16","Approved","Belarus","(not recorded)",3
"2015/16","Approved","Belarus","Polytechnics",9
"2015/16","Approved","Belarus","Private Training Establishments",12
"2015/16","Approved","Belgium","(not recorded)",24
"2015/16","Approved","Belgium","Polytechnics",0
"2015/16","Approved","Belgium","Private Training Establishments",15
"2015/16","Approved","Belgium","Schools",21
"2015/16","Approved","Belgium","Universities",12
"2015/16","Approved","Bhutan","(not recorded)",0
"2015/16","Approved","Bhutan","Polytechnics",0
"2015/16","Approved","Bhutan","Private Training Establishments",6
"2015/16","Approved","Bhutan","Universities",6
"2015/16","Approved","Bolivia","(not recorded)",0
"2015/16","Approved","Bolivia","Polytechnics",0
"2015/16","Approved","Bolivia","Private Training Establishments",6
"2015/16","Approved","Bolivia","Schools",21
"2015/16","Approved","Bolivia","Universities",0
"2015/16","Approved","Bosnia & Herzegovina","Private Training Establishments",0
"2015/16","Approved","Bosnia & Herzegovina","Universities",0
"2015/16","Approved","Botswana","(not recorded)",0
"2015/16","Approved","Botswana","Polytechnics",0
"2015/16","Approved","Botswana","Schools",3
"2015/16","Approved","Botswana","Universities",12
"2015/16","Approved","Brazil","(not recorded)",150
"2015/16","Approved","Brazil","Polytechnics",69
"2015/16","Approved","Brazil","Private Training Establishments",1284
"2015/16","Approved","Brazil","Schools",513
"2015/16","Approved","Brazil","Universities",102
"2015/16","Approved","Brazil","Wananga",3
"2015/16","Approved","Brunei Darussalam","Polytechnics",3
"2015/16","Approved","Brunei Darussalam","Private Training Establishments",9
"2015/16","Approved","Brunei Darussalam","Universities",54
"2015/16","Approved","Bulgaria","(not recorded)",9
"2015/16","Approved","Bulgaria","Polytechnics",3
"2015/16","Approved","Bulgaria","Private Training Establishments",3
"2015/16","Approved","Bulgaria","Schools",6
"2015/16","Approved","Bulgaria","Universities",3
"2015/16","Approved","Cambodia","(not recorded)",15
"2015/16","Approved","Cambodia","Polytechnics",36
"2015/16","Approved","Cambodia","Private Training Establishments",117
"2015/16","Approved","Cambodia","Schools",69
"2015/16","Approved","Cambodia","Universities",96
"2015/16","Approved","Cameroon","(not recorded)",3
"2015/16","Approved","Cameroon","Universities",6
"2015/16","Approved","Canada","(not recorded)",66
"2015/16","Approved","Canada","Polytechnics",18
"2015/16","Approved","Canada","Private Training Establishments",57
"2015/16","Approved","Canada","Schools",39
"2015/16","Approved","Canada","Universities",246
"2015/16","Approved","Chad","Universities",0
"2015/16","Approved","Chile","(not recorded)",60
"2015/16","Approved","Chile","Polytechnics",24
"2015/16","Approved","Chile","Private Training Establishments",297
"2015/16","Approved","Chile","Schools",222
"2015/16","Approved","Chile","Universities",42
"2015/16","Approved","China","(not recorded)",855
"2015/16","Approved","China","Polytechnics",5307
"2015/16","Approved","China","Private Training Establishments",9051
"2015/16","Approved","China","Schools",5910
"2015/16","Approved","China","Universities",12447
"2015/16","Approved","Christmas Island","Private Training Establishments",0
"2015/16","Approved","Colombia","(not recorded)",15
"2015/16","Approved","Colombia","Polytechnics",33
"2015/16","Approved","Colombia","Private Training Establishments",816
"2015/16","Approved","Colombia","Schools",33
"2015/16","Approved","Colombia","Universities",87
"2015/16","Approved","Congo","Private Training Establishments",0
"2015/16","Approved","Costa Rica","Private Training Establishments",0
"2015/16","Approved","Costa Rica","Universities",3
"2015/16","Approved","Croatia","(not recorded)",6
"2015/16","Approved","Croatia","Private Training Establishments",3
"2015/16","Approved","Croatia","Schools",3
"2015/16","Approved","Croatia","Universities",0
"2015/16","Approved","Cuba","Private Training Establishments",3
"2015/16","Approved","Cuba","Universities",3
"2015/16","Approved","Cyprus","(not recorded)",3
"2015/16","Approved","Czech Republic","(not recorded)",9
"2015/16","Approved","Czech Republic","Polytechnics",6
"2015/16","Approved","Czech Republic","Private Training Establishments",33
"2015/16","Approved","Czech Republic","Schools",12
"2015/16","Approved","Czech Republic","Universities",15
"2015/16","Approved","Democratic Republic of Congo","Schools",0
"2015/16","Approved","Democratic Republic of Congo","Universities",3
"2015/16","Approved","Denmark","(not recorded)",45
"2015/16","Approved","Denmark","Polytechnics",6
"2015/16","Approved","Denmark","Private Training Establishments",6
"2015/16","Approved","Denmark","Schools",24
"2015/16","Approved","Denmark","Universities",132
"2015/16","Approved","Dominica","Universities",3
"2015/16","Approved","Dominican Republic","Polytechnics",0
"2015/16","Approved","Dominican Republic","Universities",0
"2015/16","Approved","Ecuador","Private Training Establishments",15
"2015/16","Approved","Ecuador","Universities",6
"2015/16","Approved","Egypt","(not recorded)",21
"2015/16","Approved","Egypt","Polytechnics",6
"2015/16","Approved","Egypt","Private Training Establishments",9
"2015/16","Approved","Egypt","Schools",12
"2015/16","Approved","Egypt","Universities",24
"2015/16","Approved","El Salvador","Private Training Establishments",3
"2015/16","Approved","El Salvador","Universities",3
"2015/16","Approved","Estonia","(not recorded)",0
"2015/16","Approved","Estonia","Private Training Establishments",3
"2015/16","Approved","Estonia","Schools",0
"2015/16","Approved","Ethiopia","Universities",15
"2015/16","Approved","Federated States of Micronesia","Universities",0
"2015/16","Approved","Fiji","(not recorded)",639
"2015/16","Approved","Fiji","Polytechnics",168
"2015/16","Approved","Fiji","Private Training Establishments",441
"2015/16","Approved","Fiji","Schools",717
"2015/16","Approved","Fiji","Universities",114
"2015/16","Approved","Finland","(not recorded)",36
"2015/16","Approved","Finland","Polytechnics",3
"2015/16","Approved","Finland","Schools",12
"2015/16","Approved","Finland","Universities",24
"2015/16","Approved","France","(not recorded)",75
"2015/16","Approved","France","Polytechnics",33
"2015/16","Approved","France","Private Training Establishments",186
"2015/16","Approved","France","Schools",108
"2015/16","Approved","France","Universities",198
"2015/16","Approved","French Polynesia","Polytechnics",0
"2015/16","Approved","French Polynesia","Private Training Establishments",0
"2015/16","Approved","French Polynesia","Universities",3
"2015/16","Approved","Gambia","Universities",0
"2015/16","Approved","Germany","(not recorded)",99
"2015/16","Approved","Germany","Polytechnics",129
"2015/16","Approved","Germany","Private Training Establishments",69
"2015/16","Approved","Germany","Schools",1302
"2015/16","Approved","Germany","Universities",330
"2015/16","Approved","Ghana","(not recorded)",6
"2015/16","Approved","Ghana","Polytechnics",3
"2015/16","Approved","Ghana","Private Training Establishments",3
"2015/16","Approved","Ghana","Schools",3
"2015/16","Approved","Ghana","Universities",51
"2015/16","Approved","Greece","(not recorded)",3
"2015/16","Approved","Greece","Private Training Establishments",3
"2015/16","Approved","Greece","Schools",3
"2015/16","Approved","Greece","Universities",6
"2015/16","Approved","Guatemala","Private Training Establishments",0
"2015/16","Approved","Guatemala","Universities",3
"2015/16","Approved","Guyana","(not recorded)",3
"2015/16","Approved","Guyana","Schools",3
"2015/16","Approved","Guyana","Universities",6
"2015/16","Approved","Honduras","(not recorded)",0
"2015/16","Approved","Honduras","Universities",0
"2015/16","Approved","Hong Kong","(not recorded)",36
"2015/16","Approved","Hong Kong","Polytechnics",57
"2015/16","Approved","Hong Kong","Private Training Establishments",135
"2015/16","Approved","Hong Kong","Schools",414
"2015/16","Approved","Hong Kong","Universities",456
"2015/16","Approved","Hungary","(not recorded)",6
"2015/16","Approved","Hungary","Polytechnics",0
"2015/16","Approved","Hungary","Private Training Establishments",3
"2015/16","Approved","Hungary","Schools",3
"2015/16","Approved","Hungary","Universities",9
"2015/16","Approved","Iceland","(not recorded)",6
"2015/16","Approved","Iceland","Universities",6
"2015/16","Approved","India","(not recorded)",609
"2015/16","Approved","India","Polytechnics",5835
"2015/16","Approved","India","Private Training Establishments",13410
"2015/16","Approved","India","Schools",648
"2015/16","Approved","India","Universities",1353
"2015/16","Approved","Indonesia","(not recorded)",78
"2015/16","Approved","Indonesia","Polytechnics",141
"2015/16","Approved","Indonesia","Private Training Establishments",249
"2015/16","Approved","Indonesia","Schools",162
"2015/16","Approved","Indonesia","Universities",351
"2015/16","Approved","Iran","(not recorded)",21
"2015/16","Approved","Iran","Polytechnics",9
"2015/16","Approved","Iran","Private Training Establishments",12
"2015/16","Approved","Iran","Schools",18
"2015/16","Approved","Iran","Universities",357
"2015/16","Approved","Iraq","(not recorded)",6
"2015/16","Approved","Iraq","Private Training Establishments",3
"2015/16","Approved","Iraq","Schools",9
"2015/16","Approved","Iraq","Universities",15
"2015/16","Approved","Ireland","(not recorded)",39
"2015/16","Approved","Ireland","Polytechnics",3
"2015/16","Approved","Ireland","Private Training Establishments",3
"2015/16","Approved","Ireland","Schools",24
"2015/16","Approved","Ireland","Universities",21
"2015/16","Approved","Israel","(not recorded)",18
"2015/16","Approved","Israel","Polytechnics",0
"2015/16","Approved","Israel","Private Training Establishments",0
"2015/16","Approved","Israel","Schools",9
"2015/16","Approved","Israel","Universities",12
"2015/16","Approved","Italy","(not recorded)",27
"2015/16","Approved","Italy","Polytechnics",9
"2015/16","Approved","Italy","Private Training Establishments",63
"2015/16","Approved","Italy","Schools",126
"2015/16","Approved","Italy","Universities",57
"2015/16","Approved","Jamaica","(not recorded)",0
"2015/16","Approved","Jamaica","Schools",0
"2015/16","Approved","Jamaica","Universities",9
"2015/16","Approved","Japan","(not recorded)",135
"2015/16","Approved","Japan","Polytechnics",201
"2015/16","Approved","Japan","Private Training Establishments",1053
"2015/16","Approved","Japan","Schools",1869
"2015/16","Approved","Japan","Universities",672
"2015/16","Approved","Jordan","(not recorded)",21
"2015/16","Approved","Jordan","Polytechnics",3
"2015/16","Approved","Jordan","Private Training Establishments",0
"2015/16","Approved","Jordan","Schools",3
"2015/16","Approved","Jordan","Universities",36
"2015/16","Approved","Kazakhstan","(not recorded)",9
"2015/16","Approved","Kazakhstan","Polytechnics",9
"2015/16","Approved","Kazakhstan","Private Training Establishments",39
"2015/16","Approved","Kazakhstan","Schools",9
"2015/16","Approved","Kazakhstan","Universities",21
"2015/16","Approved","Kenya","(not recorded)",15
"2015/16","Approved","Kenya","Polytechnics",96
"2015/16","Approved","Kenya","Private Training Establishments",9
"2015/16","Approved","Kenya","Schools",3
"2015/16","Approved","Kenya","Universities",18
"2015/16","Approved","Kiribati","(not recorded)",36
"2015/16","Approved","Kiribati","Polytechnics",9
"2015/16","Approved","Kiribati","Private Training Establishments",0
"2015/16","Approved","Kiribati","Schools",30
"2015/16","Approved","Kiribati","Universities",24
"2015/16","Approved","Kosovo - Republic of","Private Training Establishments",0
"2015/16","Approved","Kuwait","Private Training Establishments",3
"2015/16","Approved","Kuwait","Schools",0
"2015/16","Approved","Kuwait","Universities",66
"2015/16","Approved","Kyrgyzstan","Polytechnics",3
"2015/16","Approved","Kyrgyzstan","Private Training Establishments",3
"2015/16","Approved","Laos","(not recorded)",3
"2015/16","Approved","Laos","Polytechnics",3
"2015/16","Approved","Laos","Private Training Establishments",6
"2015/16","Approved","Laos","Schools",15
"2015/16","Approved","Laos","Universities",54
"2015/16","Approved","Latvia","(not recorded)",0
"2015/16","Approved","Latvia","Polytechnics",0
"2015/16","Approved","Latvia","Private Training Establishments",6
"2015/16","Approved","Latvia","Schools",3
"2015/16","Approved","Latvia","Universities",3
"2015/16","Approved","Lebanon","(not recorded)",3
"2015/16","Approved","Lebanon","Polytechnics",0
"2015/16","Approved","Lebanon","Private Training Establishments",6
"2015/16","Approved","Lebanon","Schools",0
"2015/16","Approved","Lebanon","Universities",3
"2015/16","Approved","Liberia","Polytechnics",0
"2015/16","Approved","Liberia","Private Training Establishments",0
"2015/16","Approved","Libya","(not recorded)",3
"2015/16","Approved","Libya","Schools",9
"2015/16","Approved","Libya","Universities",6
"2015/16","Approved","Liechtenstein","Private Training Establishments",0
"2015/16","Approved","Liechtenstein","Schools",3
"2015/16","Approved","Lithuania","(not recorded)",3
"2015/16","Approved","Lithuania","Polytechnics",0
"2015/16","Approved","Lithuania","Private Training Establishments",3
"2015/16","Approved","Lithuania","Universities",3
"2015/16","Approved","Luxembourg","Schools",3
"2015/16","Approved","Macau","Polytechnics",0
"2015/16","Approved","Macau","Private Training Establishments",15
"2015/16","Approved","Macau","Schools",54
"2015/16","Approved","Macau","Universities",15
"2015/16","Approved","Macedonia","(not recorded)",9
"2015/16","Approved","Macedonia","Private Training Establishments",3
"2015/16","Approved","Macedonia","Schools",12
"2015/16","Approved","Macedonia","Universities",3
"2015/16","Approved","Malawi","(not recorded)",3
"2015/16","Approved","Malawi","Polytechnics",0
"2015/16","Approved","Malawi","Schools",3
"2015/16","Approved","Malawi","Universities",3
"2015/16","Approved","Malaysia","(not recorded)",96
"2015/16","Approved","Malaysia","Polytechnics",141
"2015/16","Approved","Malaysia","Private Training Establishments",174
"2015/16","Approved","Malaysia","Schools",192
"2015/16","Approved","Malaysia","Universities",1092
"2015/16","Approved","Maldives","(not recorded)",3
"2015/16","Approved","Maldives","Polytechnics",0
"2015/16","Approved","Maldives","Private Training Establishments",0
"2015/16","Approved","Maldives","Schools",9
"2015/16","Approved","Maldives","Universities",24
"2015/16","Approved","Marshall Islands","Universities",3
"2015/16","Approved","Mauritius","(not recorded)",6
"2015/16","Approved","Mauritius","Polytechnics",21
"2015/16","Approved","Mauritius","Private Training Establishments",12
"2015/16","Approved","Mauritius","Universities",12
"2015/16","Approved","Mexico","(not recorded)",9
"2015/16","Approved","Mexico","Polytechnics",21
"2015/16","Approved","Mexico","Private Training Establishments",72
"2015/16","Approved","Mexico","Schools",72
"2015/16","Approved","Mexico","Universities",51
"2015/16","Approved","Moldova","(not recorded)",0
"2015/16","Approved","Moldova","Private Training Establishments",0
"2015/16","Approved","Mongolia","(not recorded)",6
"2015/16","Approved","Mongolia","Private Training Establishments",0
"2015/16","Approved","Mongolia","Schools",3
"2015/16","Approved","Mongolia","Universities",9
"2015/16","Approved","Morocco","Polytechnics",3
"2015/16","Approved","Morocco","Universities",3
"2015/16","Approved","Mozambique","Schools",3
"2015/16","Approved","Myanmar","Polytechnics",3
"2015/16","Approved","Myanmar","Private Training Establishments",12
"2015/16","Approved","Myanmar","Schools",12
"2015/16","Approved","Myanmar","Universities",54
"2015/16","Approved","Namibia","Schools",0
"2015/16","Approved","Namibia","Universities",3
"2015/16","Approved","Nauru","(not recorded)",0
"2015/16","Approved","Nauru","Polytechnics",3
"2015/16","Approved","Nauru","Schools",9
"2015/16","Approved","Nauru","Universities",6
"2015/16","Approved","Nepal","(not recorded)",51
"2015/16","Approved","Nepal","Polytechnics",270
"2015/16","Approved","Nepal","Private Training Establishments",594
"2015/16","Approved","Nepal","Schools",27
"2015/16","Approved","Nepal","Universities",66
"2015/16","Approved","Netherlands","(not recorded)",30
"2015/16","Approved","Netherlands","Polytechnics",9
"2015/16","Approved","Netherlands","Private Training Establishments",6
"2015/16","Approved","Netherlands","Schools",33
"2015/16","Approved","Netherlands","Universities",87
"2015/16","Approved","Nigeria","(not recorded)",18
"2015/16","Approved","Nigeria","Polytechnics",9
"2015/16","Approved","Nigeria","Private Training Establishments",0
"2015/16","Approved","Nigeria","Schools",15
"2015/16","Approved","Nigeria","Universities",84
"2015/16","Approved","Norway","(not recorded)",12
"2015/16","Approved","Norway","Polytechnics",3
"2015/16","Approved","Norway","Private Training Establishments",21
"2015/16","Approved","Norway","Schools",18
"2015/16","Approved","Norway","Universities",141
"2015/16","Approved","Oman","(not recorded)",9
"2015/16","Approved","Oman","Polytechnics",9
"2015/16","Approved","Oman","Private Training Establishments",30
"2015/16","Approved","Oman","Schools",3
"2015/16","Approved","Oman","Universities",45
"2015/16","Approved","Pakistan","(not recorded)",51
"2015/16","Approved","Pakistan","Polytechnics",27
"2015/16","Approved","Pakistan","Private Training Establishments",27
"2015/16","Approved","Pakistan","Schools",51
"2015/16","Approved","Pakistan","Universities",216
"2015/16","Approved","Palau","Universities",0
"2015/16","Approved","Palestine","Polytechnics",6
"2015/16","Approved","Palestine","Private Training Establishments",3
"2015/16","Approved","Palestine","Schools",3
"2015/16","Approved","Palestine","Universities",3
"2015/16","Approved","Panama","(not recorded)",0
"2015/16","Approved","Panama","Private Training Establishments",3
"2015/16","Approved","Papua New Guinea","(not recorded)",24
"2015/16","Approved","Papua New Guinea","Polytechnics",36
"2015/16","Approved","Papua New Guinea","Private Training Establishments",39
"2015/16","Approved","Papua New Guinea","Schools",66
"2015/16","Approved","Papua New Guinea","Universities",111
"2015/16","Approved","Paraguay","(not recorded)",3
"2015/16","Approved","Paraguay","Private Training Establishments",0
"2015/16","Approved","Paraguay","Schools",9
"2015/16","Approved","Paraguay","Universities",3
"2015/16","Approved","Peru","(not recorded)",3
"2015/16","Approved","Peru","Polytechnics",3
"2015/16","Approved","Peru","Private Training Establishments",24
"2015/16","Approved","Peru","Schools",6
"2015/16","Approved","Peru","Universities",6
"2015/16","Approved","Philippines","(not recorded)",1461
"2015/16","Approved","Philippines","Polytechnics",417
"2015/16","Approved","Philippines","Private Training Establishments",1812
"2015/16","Approved","Philippines","Schools",543
"2015/16","Approved","Philippines","Universities",96
"2015/16","Approved","Poland","(not recorded)",18
"2015/16","Approved","Poland","Private Training Establishments",0
"2015/16","Approved","Poland","Schools",6
"2015/16","Approved","Poland","Universities",18
"2015/16","Approved","Portugal","(not recorded)",6
"2015/16","Approved","Portugal","Polytechnics",0
"2015/16","Approved","Portugal","Private Training Establishments",12
"2015/16","Approved","Portugal","Schools",12
"2015/16","Approved","Portugal","Universities",18
"2015/16","Approved","Qatar","Universities",3
"2015/16","Approved","Romania","(not recorded)",6
"2015/16","Approved","Romania","Private Training Establishments",3
"2015/16","Approved","Romania","Schools",0
"2015/16","Approved","Romania","Universities",3
"2015/16","Approved","Russia","(not recorded)",66
"2015/16","Approved","Russia","Polytechnics",108
"2015/16","Approved","Russia","Private Training Establishments",336
"2015/16","Approved","Russia","Schools",117
"2015/16","Approved","Russia","Universities",135
"2015/16","Approved","Rwanda","Schools",0
"2015/16","Approved","Rwanda","Universities",3
"2015/16","Approved","Samoa","(not recorded)",75
"2015/16","Approved","Samoa","Polytechnics",15
"2015/16","Approved","Samoa","Private Training Establishments",27
"2015/16","Approved","Samoa","Schools",138
"2015/16","Approved","Samoa","Universities",57
"2015/16","Approved","Saudi Arabia","(not recorded)",33
"2015/16","Approved","Saudi Arabia","Polytechnics",309
"2015/16","Approved","Saudi Arabia","Private Training Establishments",540
"2015/16","Approved","Saudi Arabia","Schools",108
"2015/16","Approved","Saudi Arabia","Universities",711
"2015/16","Approved","Senegal","Universities",0
"2015/16","Approved","Serbia","(not recorded)",15
"2015/16","Approved","Serbia","Polytechnics",0
"2015/16","Approved","Serbia","Private Training Establishments",3
"2015/16","Approved","Serbia","Schools",9
"2015/16","Approved","Serbia","Universities",3
"2015/16","Approved","Seychelles","Polytechnics",0
"2015/16","Approved","Seychelles","Private Training Establishments",0
"2015/16","Approved","Seychelles","Universities",3
"2015/16","Approved","Sierra Leone","Universities",0
"2015/16","Approved","Singapore","(not recorded)",30
"2015/16","Approved","Singapore","Polytechnics",21
"2015/16","Approved","Singapore","Private Training Establishments",30
"2015/16","Approved","Singapore","Schools",51
"2015/16","Approved","Singapore","Universities",291
"2015/16","Approved","Slovakia","(not recorded)",6
"2015/16","Approved","Slovakia","Polytechnics",3
"2015/16","Approved","Slovakia","Private Training Establishments",12
"2015/16","Approved","Slovakia","Schools",12
"2015/16","Approved","Slovakia","Universities",3
"2015/16","Approved","Slovenia","(not recorded)",9
"2015/16","Approved","Slovenia","Schools",3
"2015/16","Approved","Slovenia","Universities",0
"2015/16","Approved","Solomon Islands","(not recorded)",18
"2015/16","Approved","Solomon Islands","Polytechnics",12
"2015/16","Approved","Solomon Islands","Private Training Establishments",3
"2015/16","Approved","Solomon Islands","Schools",21
"2015/16","Approved","Solomon Islands","Universities",42
"2015/16","Approved","South Africa","(not recorded)",909
"2015/16","Approved","South Africa","Polytechnics",39
"2015/16","Approved","South Africa","Private Training Establishments",39
"2015/16","Approved","South Africa","Schools",309
"2015/16","Approved","South Africa","Universities",36
"2015/16","Approved","South Korea","(not recorded)",309
"2015/16","Approved","South Korea","Polytechnics",306
"2015/16","Approved","South Korea","Private Training Establishments",2139
"2015/16","Approved","South Korea","Schools",2157
"2015/16","Approved","South Korea","Universities",726
"2015/16","Approved","Spain","(not recorded)",24
"2015/16","Approved","Spain","Polytechnics",3
"2015/16","Approved","Spain","Private Training Establishments",90
"2015/16","Approved","Spain","Schools",18
"2015/16","Approved","Spain","Universities",45
"2015/16","Approved","Sri Lanka","(not recorded)",159
"2015/16","Approved","Sri Lanka","Polytechnics",276
"2015/16","Approved","Sri Lanka","Private Training Establishments",459
"2015/16","Approved","Sri Lanka","Schools",102
"2015/16","Approved","Sri Lanka","Universities",183
"2015/16","Approved","St Lucia","Universities",3
"2015/16","Approved","Stateless","Schools",3
"2015/16","Approved","Stateless","Universities",0
"2015/16","Approved","Sudan","Universities",3
"2015/16","Approved","Suriname","Polytechnics",0
"2015/16","Approved","Swaziland","Universities",3
"2015/16","Approved","Sweden","(not recorded)",42
"2015/16","Approved","Sweden","Polytechnics",15
"2015/16","Approved","Sweden","Private Training Establishments",24
"2015/16","Approved","Sweden","Schools",12
"2015/16","Approved","Sweden","Universities",75
"2015/16","Approved","Switzerland","(not recorded)",27
"2015/16","Approved","Switzerland","Polytechnics",6
"2015/16","Approved","Switzerland","Private Training Establishments",132
"2015/16","Approved","Switzerland","Schools",84
"2015/16","Approved","Switzerland","Universities",27
"2015/16","Approved","Syria","(not recorded)",6
"2015/16","Approved","Syria","Schools",9
"2015/16","Approved","Syria","Universities",0
"2015/16","Approved","Taiwan","(not recorded)",18
"2015/16","Approved","Taiwan","Polytechnics",84
"2015/16","Approved","Taiwan","Private Training Establishments",267
"2015/16","Approved","Taiwan","Schools",243
"2015/16","Approved","Taiwan","Universities",276
"2015/16","Approved","Tajikistan","Private Training Establishments",0
"2015/16","Approved","Tanzania","Polytechnics",6
"2015/16","Approved","Tanzania","Private Training Establishments",6
"2015/16","Approved","Tanzania","Schools",0
"2015/16","Approved","Tanzania","Universities",9
"2015/16","Approved","Thailand","(not recorded)",87
"2015/16","Approved","Thailand","Polytechnics",114
"2015/16","Approved","Thailand","Private Training Establishments",855
"2015/16","Approved","Thailand","Schools",1020
"2015/16","Approved","Thailand","Universities",369
"2015/16","Approved","Timor Leste","(not recorded)",0
"2015/16","Approved","Timor Leste","Polytechnics",9
"2015/16","Approved","Timor Leste","Private Training Establishments",3
"2015/16","Approved","Timor Leste","Universities",45
"2015/16","Approved","Tonga","(not recorded)",147
"2015/16","Approved","Tonga","Polytechnics",57
"2015/16","Approved","Tonga","Private Training Establishments",75
"2015/16","Approved","Tonga","Schools",225
"2015/16","Approved","Tonga","Universities",48
"2015/16","Approved","Trinidad and Tobago","(not recorded)",3
"2015/16","Approved","Trinidad and Tobago","Universities",3
"2015/16","Approved","Tunisia","Private Training Establishments",0
"2015/16","Approved","Tunisia","Schools",3
"2015/16","Approved","Turkey","(not recorded)",15
"2015/16","Approved","Turkey","Polytechnics",3
"2015/16","Approved","Turkey","Private Training Establishments",21
"2015/16","Approved","Turkey","Schools",9
"2015/16","Approved","Turkey","Universities",18
"2015/16","Approved","Tuvalu","(not recorded)",9
"2015/16","Approved","Tuvalu","Polytechnics",6
"2015/16","Approved","Tuvalu","Schools",6
"2015/16","Approved","Tuvalu","Universities",15
"2015/16","Approved","Uganda","(not recorded)",6
"2015/16","Approved","Uganda","Schools",3
"2015/16","Approved","Uganda","Universities",3
"2015/16","Approved","Ukraine","(not recorded)",18
"2015/16","Approved","Ukraine","Polytechnics",9
"2015/16","Approved","Ukraine","Private Training Establishments",15
"2015/16","Approved","Ukraine","Schools",15
"2015/16","Approved","Ukraine","Universities",12
"2015/16","Approved","United Arab Emirates","(not recorded)",6
"2015/16","Approved","United Arab Emirates","Private Training Establishments",0
"2015/16","Approved","United Arab Emirates","Schools",0
"2015/16","Approved","United Arab Emirates","Universities",6
"2015/16","Approved","United Kingdom","(not recorded)",480
"2015/16","Approved","United Kingdom","Polytechnics",42
"2015/16","Approved","United Kingdom","Private Training Establishments",198
"2015/16","Approved","United Kingdom","Schools",207
"2015/16","Approved","United Kingdom","Universities",279
"2015/16","Approved","United States of America","(not recorded)",351
"2015/16","Approved","United States of America","Polytechnics",60
"2015/16","Approved","United States of America","Private Training Establishments",111
"2015/16","Approved","United States of America","Schools",195
"2015/16","Approved","United States of America","Universities",2292
"2015/16","Approved","Unknown","Polytechnics",6
"2015/16","Approved","Unknown","Private Training Establishments",9
"2015/16","Approved","Unknown","Schools",6
"2015/16","Approved","Unknown","Universities",6
"2015/16","Approved","Uruguay","(not recorded)",9
"2015/16","Approved","Uruguay","Polytechnics",3
"2015/16","Approved","Uruguay","Private Training Establishments",15
"2015/16","Approved","Uruguay","Schools",6
"2015/16","Approved","Uruguay","Universities",6
"2015/16","Approved","Uzbekistan","(not recorded)",3
"2015/16","Approved","Uzbekistan","Polytechnics",3
"2015/16","Approved","Uzbekistan","Private Training Establishments",18
"2015/16","Approved","Uzbekistan","Schools",3
"2015/16","Approved","Uzbekistan","Universities",3
"2015/16","Approved","Vanuatu","(not recorded)",24
"2015/16","Approved","Vanuatu","Polytechnics",6
"2015/16","Approved","Vanuatu","Private Training Establishments",9
"2015/16","Approved","Vanuatu","Schools",27
"2015/16","Approved","Vanuatu","Universities",30
"2015/16","Approved","Venezuela","Polytechnics",3
"2015/16","Approved","Venezuela","Private Training Establishments",30
"2015/16","Approved","Venezuela","Schools",6
"2015/16","Approved","Venezuela","Universities",3
"2015/16","Approved","Vietnam","(not recorded)",120
"2015/16","Approved","Vietnam","Polytechnics",243
"2015/16","Approved","Vietnam","Private Training Establishments",573
"2015/16","Approved","Vietnam","Schools",357
"2015/16","Approved","Vietnam","Universities",711
"2015/16","Approved","Yemen","(not recorded)",0
"2015/16","Approved","Yemen","Universities",9
"2015/16","Approved","Zambia","(not recorded)",6
"2015/16","Approved","Zambia","Polytechnics",6
"2015/16","Approved","Zambia","Private Training Establishments",0
"2015/16","Approved","Zambia","Universities",12
"2015/16","Approved","Zimbabwe","(not recorded)",18
"2015/16","Approved","Zimbabwe","Polytechnics",9
"2015/16","Approved","Zimbabwe","Private Training Establishments",9
"2015/16","Approved","Zimbabwe","Schools",15
"2015/16","Approved","Zimbabwe","Universities",12
"2015/16","Declined","Afghanistan","(not recorded)",9
"2015/16","Declined","Afghanistan","Private Training Establishments",3
