"Date","Decision Type","Application Substream","Count"
2017-10-31,"Approved","Working Holiday",7257
2017-10-31,"Declined","Approved In Principle",30
2017-10-31,"Declined","Crew",12
2017-10-31,"Declined","Humanitarian",45
2017-10-31,"Declined","Job Search",24
2017-10-31,"Declined","LTBV/Investor",63
2017-10-31,"Declined","Other",321
2017-10-31,"Declined","Relationship",369
2017-10-31,"Declined","Section 61",6
2017-10-31,"Declined","Skilled Work",513
2017-10-31,"Declined","Work -RSE",12
2017-10-31,"Declined","Work to Residence",99
2017-10-31,"Declined","Working Holiday",315
2017-11-30,"Approved","Approved In Principle",231
2017-11-30,"Approved","Crew",60
2017-11-30,"Approved","Humanitarian",111
2017-11-30,"Approved","Job Search",780
2017-11-30,"Approved","LTBV/Investor",27
2017-11-30,"Approved","Other",2631
2017-11-30,"Approved","Relationship",3003
2017-11-30,"Approved","Section 61",162
2017-11-30,"Approved","Skilled Migrant",24
2017-11-30,"Approved","Skilled Work",3372
2017-11-30,"Approved","Work -RSE",2295
2017-11-30,"Approved","Work to Residence",645
2017-11-30,"Approved","Working Holiday",5607
2017-11-30,"Declined","Approved In Principle",15
2017-11-30,"Declined","Humanitarian",51
2017-11-30,"Declined","Job Search",27
2017-11-30,"Declined","LTBV/Investor",60
2017-11-30,"Declined","Other",336
2017-11-30,"Declined","Relationship",339
2017-11-30,"Declined","Section 61",6
2017-11-30,"Declined","Skilled Work",477
2017-11-30,"Declined","Work -RSE",18
2017-11-30,"Declined","Work to Residence",78
2017-11-30,"Declined","Working Holiday",210
2017-12-31,"Approved","Approved In Principle",162
2017-12-31,"Approved","Crew",18
2017-12-31,"Approved","Humanitarian",75
2017-12-31,"Approved","Job Search",441
2017-12-31,"Approved","LTBV/Investor",15
2017-12-31,"Approved","Other",1977
2017-12-31,"Approved","Relationship",2220
2017-12-31,"Approved","Section 61",99
2017-12-31,"Approved","Skilled Migrant",21
2017-12-31,"Approved","Skilled Work",2694
2017-12-31,"Approved","Work -RSE",258
2017-12-31,"Approved","Work to Residence",507
2017-12-31,"Approved","Working Holiday",3564
2017-12-31,"Declined","Approved In Principle",18
2017-12-31,"Declined","Humanitarian",30
2017-12-31,"Declined","Job Search",12
2017-12-31,"Declined","LTBV/Investor",45
2017-12-31,"Declined","Other",234
2017-12-31,"Declined","Relationship",279
2017-12-31,"Declined","Section 61",0
2017-12-31,"Declined","Skilled Work",363
2017-12-31,"Declined","Work -RSE",15
2017-12-31,"Declined","Work to Residence",72
2017-12-31,"Declined","Working Holiday",120
2018-01-31,"Approved","Approved In Principle",315
2018-01-31,"Approved","Crew",18
2018-01-31,"Approved","Humanitarian",78
2018-01-31,"Approved","Job Search",873
2018-01-31,"Approved","LTBV/Investor",33
2018-01-31,"Approved","Other",2562
2018-01-31,"Approved","Relationship",2883
2018-01-31,"Approved","Section 61",99
2018-01-31,"Approved","Skilled Migrant",30
2018-01-31,"Approved","Skilled Work",3384
2018-01-31,"Approved","Work -RSE",843
2018-01-31,"Approved","Work to Residence",513
2018-01-31,"Approved","Working Holiday",6468
2018-01-31,"Declined","Approved In Principle",24
2018-01-31,"Declined","Crew",3
2018-01-31,"Declined","Humanitarian",27
2018-01-31,"Declined","Job Search",15
2018-01-31,"Declined","LTBV/Investor",72
2018-01-31,"Declined","Other",222
2018-01-31,"Declined","Relationship",324
2018-01-31,"Declined","Section 61",3
2018-01-31,"Declined","Skilled Work",369
2018-01-31,"Declined","Work -RSE",6
2018-01-31,"Declined","Work to Residence",75
2018-01-31,"Declined","Working Holiday",231
2018-02-28,"Approved","Approved In Principle",180
2018-02-28,"Approved","Crew",33
2018-02-28,"Approved","Humanitarian",96
2018-02-28,"Approved","Job Search",1317
2018-02-28,"Approved","LTBV/Investor",30
2018-02-28,"Approved","Other",2541
2018-02-28,"Approved","Relationship",2913
2018-02-28,"Approved","Section 61",150
2018-02-28,"Approved","Skilled Migrant",15
2018-02-28,"Approved","Skilled Work",2547
2018-02-28,"Approved","Work -RSE",2304
2018-02-28,"Approved","Work to Residence",519
2018-02-28,"Approved","Working Holiday",3762
2018-02-28,"Declined","Approved In Principle",27
2018-02-28,"Declined","Humanitarian",39
2018-02-28,"Declined","Job Search",24
2018-02-28,"Declined","LTBV/Investor",60
2018-02-28,"Declined","Other",243
2018-02-28,"Declined","Relationship",366
2018-02-28,"Declined","Section 61",0
2018-02-28,"Declined","Skilled Work",360
2018-02-28,"Declined","Work -RSE",21
2018-02-28,"Declined","Work to Residence",81
2018-02-28,"Declined","Working Holiday",198
2018-03-31,"Approved","Approved In Principle",111
2018-03-31,"Approved","Crew",492
2018-03-31,"Approved","Humanitarian",84
2018-03-31,"Approved","Job Search",3291
2018-03-31,"Approved","LTBV/Investor",33
2018-03-31,"Approved","Other",3306
2018-03-31,"Approved","Relationship",3189
2018-03-31,"Approved","Section 61",180
2018-03-31,"Approved","Skilled Migrant",15
2018-03-31,"Approved","Skilled Work",3339
2018-03-31,"Approved","Work -RSE",2070
2018-03-31,"Approved","Work to Residence",642
2018-03-31,"Approved","Working Holiday",4959
2018-03-31,"Declined","Approved In Principle",24
2018-03-31,"Declined","Crew",3
2018-03-31,"Declined","Humanitarian",33
2018-03-31,"Declined","Job Search",48
2018-03-31,"Declined","LTBV/Investor",60
2018-03-31,"Declined","Other",261
2018-03-31,"Declined","Relationship",390
2018-03-31,"Declined","Section 61",0
2018-03-31,"Declined","Skilled Work",504
2018-03-31,"Declined","Work -RSE",27
2018-03-31,"Declined","Work to Residence",102
2018-03-31,"Declined","Working Holiday",225
2018-04-30,"Approved","Approved In Principle",147
2018-04-30,"Approved","Crew",117
2018-04-30,"Approved","Humanitarian",78
2018-04-30,"Approved","Job Search",1899
2018-04-30,"Approved","LTBV/Investor",15
2018-04-30,"Approved","Other",3573
2018-04-30,"Approved","Relationship",2856
2018-04-30,"Approved","Section 61",117
2018-04-30,"Approved","Skilled Migrant",9
2018-04-30,"Approved","Skilled Work",3939
2018-04-30,"Approved","Work -RSE",495
2018-04-30,"Approved","Work to Residence",609
2018-04-30,"Approved","Working Holiday",3951
2018-04-30,"Declined","Approved In Principle",24
2018-04-30,"Declined","Crew",9
2018-04-30,"Declined","Humanitarian",42
2018-04-30,"Declined","Job Search",30
2018-04-30,"Declined","LTBV/Investor",72
2018-04-30,"Declined","Other",306
2018-04-30,"Declined","Relationship",324
2018-04-30,"Declined","Section 61",0
2018-04-30,"Declined","Skilled Work",594
2018-04-30,"Declined","Work -RSE",6
2018-04-30,"Declined","Work to Residence",63
2018-04-30,"Declined","Working Holiday",171
2018-05-31,"Approved","Approved In Principle",228
2018-05-31,"Approved","Crew",21
2018-05-31,"Approved","Humanitarian",102
2018-05-31,"Approved","Job Search",1170
2018-05-31,"Approved","LTBV/Investor",21
2018-05-31,"Approved","Other",4527
2018-05-31,"Approved","Relationship",4101
2018-05-31,"Approved","Section 61",225
2018-05-31,"Approved","Skilled Migrant",30
2018-05-31,"Approved","Skilled Work",4917
2018-05-31,"Approved","Work -RSE",594
2018-05-31,"Approved","Work to Residence",846
2018-05-31,"Approved","Working Holiday",5685
2018-05-31,"Declined","Approved In Principle",27
2018-05-31,"Declined","Humanitarian",39
2018-05-31,"Declined","Job Search",36
2018-05-31,"Declined","LTBV/Investor",36
2018-05-31,"Declined","Other",312
2018-05-31,"Declined","Relationship",300
2018-05-31,"Declined","Section 61",3
2018-05-31,"Declined","Skilled Work",522
2018-05-31,"Declined","Work -RSE",9
2018-05-31,"Declined","Work to Residence",126
2018-05-31,"Declined","Working Holiday",246
2018-06-30,"Approved","Approved In Principle",141
2018-06-30,"Approved","Crew",15
2018-06-30,"Approved","Humanitarian",87
2018-06-30,"Approved","Job Search",822
2018-06-30,"Approved","LTBV/Investor",9
2018-06-30,"Approved","Other",3132
2018-06-30,"Approved","Relationship",4440
2018-06-30,"Approved","Section 61",165
2018-06-30,"Approved","Skilled Migrant",21
2018-06-30,"Approved","Skilled Work",4284
2018-06-30,"Approved","Work -RSE",252
2018-06-30,"Approved","Work to Residence",672
2018-06-30,"Approved","Working Holiday",5415
2018-06-30,"Declined","Approved In Principle",36
2018-06-30,"Declined","Humanitarian",30
2018-06-30,"Declined","Job Search",21
2018-06-30,"Declined","LTBV/Investor",42
2018-06-30,"Declined","Other",234
2018-06-30,"Declined","Relationship",300
2018-06-30,"Declined","Section 61",3
2018-06-30,"Declined","Skilled Work",435
2018-06-30,"Declined","Work -RSE",12
2018-06-30,"Declined","Work to Residence",123
2018-06-30,"Declined","Working Holiday",255
2018-07-31,"Approved","Approved In Principle",102
2018-07-31,"Approved","Crew",21
2018-07-31,"Approved","Humanitarian",87
2018-07-31,"Approved","Job Search",1221
2018-07-31,"Approved","LTBV/Investor",18
2018-07-31,"Approved","Other",3261
2018-07-31,"Approved","Relationship",4848
2018-07-31,"Approved","Section 61",192
2018-07-31,"Approved","Skilled Migrant",33
2018-07-31,"Approved","Skilled Work",4431
2018-07-31,"Approved","Work -RSE",66
2018-07-31,"Approved","Work to Residence",771
2018-07-31,"Approved","Working Holiday",6171
2018-07-31,"Declined","Approved In Principle",24
2018-07-31,"Declined","Crew",9
2018-07-31,"Declined","Humanitarian",42
2018-07-31,"Declined","Job Search",21
2018-07-31,"Declined","LTBV/Investor",18
2018-07-31,"Declined","Other",168
2018-07-31,"Declined","Relationship",318
2018-07-31,"Declined","Skilled Work",444
2018-07-31,"Declined","Work -RSE",3
2018-07-31,"Declined","Work to Residence",72
2018-07-31,"Declined","Working Holiday",228
2018-08-31,"Approved","Approved In Principle",312
2018-08-31,"Approved","Crew",18
2018-08-31,"Approved","Humanitarian",114
2018-08-31,"Approved","Job Search",2265
2018-08-31,"Approved","LTBV/Investor",15
2018-08-31,"Approved","Other",3051
2018-08-31,"Approved","Relationship",4152
2018-08-31,"Approved","Section 61",144
2018-08-31,"Approved","Skilled Migrant",15
2018-08-31,"Approved","Skilled Work",4002
2018-08-31,"Approved","Work -RSE",291
2018-08-31,"Approved","Work to Residence",654
2018-08-31,"Approved","Working Holiday",7101
2018-08-31,"Declined","Approved In Principle",21
2018-08-31,"Declined","Humanitarian",18
2018-08-31,"Declined","Job Search",27
2018-08-31,"Declined","LTBV/Investor",36
2018-08-31,"Declined","Other",201
2018-08-31,"Declined","Relationship",219
2018-08-31,"Declined","Skilled Work",468
2018-08-31,"Declined","Work -RSE",3
2018-08-31,"Declined","Work to Residence",60
2018-08-31,"Declined","Working Holiday",336
2018-09-30,"Approved","Approved In Principle",135
2018-09-30,"Approved","Crew",123
2018-09-30,"Approved","Humanitarian",96
2018-09-30,"Approved","Job Search",1092
2018-09-30,"Approved","LTBV/Investor",12
2018-09-30,"Approved","Other",2580
2018-09-30,"Approved","Relationship",3102
2018-09-30,"Approved","Section 61",123
2018-09-30,"Approved","Skilled Migrant",21
2018-09-30,"Approved","Skilled Work",3006
2018-09-30,"Approved","Work -RSE",1437
2018-09-30,"Approved","Work to Residence",687
2018-09-30,"Approved","Working Holiday",6456
2018-09-30,"Declined","Approved In Principle",18
2018-09-30,"Declined","Crew",3
2018-09-30,"Declined","Humanitarian",39
2018-09-30,"Declined","Job Search",18
2018-09-30,"Declined","LTBV/Investor",15
2018-09-30,"Declined","Other",150
2018-09-30,"Declined","Relationship",210
2018-09-30,"Declined","Skilled Work",411
2018-09-30,"Declined","Work -RSE",6
2018-09-30,"Declined","Work to Residence",60
2018-09-30,"Declined","Working Holiday",243
2018-10-31,"Approved","Approved In Principle",285
2018-10-31,"Approved","Crew",489
2018-10-31,"Approved","Humanitarian",93
2018-10-31,"Approved","Job Search",855
2018-10-31,"Approved","LTBV/Investor",15
2018-10-31,"Approved","Other",3189
2018-10-31,"Approved","Relationship",3204
2018-10-31,"Approved","Section 61",96
2018-10-31,"Approved","Skilled Migrant",24
2018-10-31,"Approved","Skilled Work",3585
2018-10-31,"Approved","Work -RSE",2220
2018-10-31,"Approved","Work to Residence",846
2018-10-31,"Approved","Working Holiday",7248
2018-10-31,"Declined","Approved In Principle",42
2018-10-31,"Declined","Crew",0
2018-10-31,"Declined","Humanitarian",51
2018-10-31,"Declined","Job Search",15
2018-10-31,"Declined","LTBV/Investor",12
2018-10-31,"Declined","Other",171
2018-10-31,"Declined","Relationship",249
2018-10-31,"Declined","Skilled Work",477
2018-10-31,"Declined","Work -RSE",21
2018-10-31,"Declined","Work to Residence",42
2018-10-31,"Declined","Working Holiday",324
2018-11-30,"Approved","Approved In Principle",99
2018-11-30,"Approved","Crew",15
2018-11-30,"Approved","Humanitarian",90
2018-11-30,"Approved","Job Search",564
2018-11-30,"Approved","LTBV/Investor",15
2018-11-30,"Approved","Other",2817
2018-11-30,"Approved","Relationship",3156
2018-11-30,"Approved","Section 61",81
2018-11-30,"Approved","Skilled Migrant",24
2018-11-30,"Approved","Skilled Work",3633
2018-11-30,"Approved","Work -RSE",1473
2018-11-30,"Approved","Work to Residence",849
2018-11-30,"Approved","Working Holiday",4680
2018-11-30,"Declined","Approved In Principle",12
2018-11-30,"Declined","Humanitarian",54
2018-11-30,"Declined","Job Search",21
2018-11-30,"Declined","LTBV/Investor",12
2018-11-30,"Declined","Other",171
2018-11-30,"Declined","Relationship",216
2018-11-30,"Declined","Skilled Work",495
2018-11-30,"Declined","Work -RSE",24
2018-11-30,"Declined","Work to Residence",57
2018-11-30,"Declined","Working Holiday",192
2018-12-31,"Approved","Approved In Principle",174
2018-12-31,"Approved","Crew",21
2018-12-31,"Approved","Humanitarian",108
2018-12-31,"Approved","Job Search",1407
2018-12-31,"Approved","LTBV/Investor",9
2018-12-31,"Approved","Other",5565
2018-12-31,"Approved","Relationship",2436
2018-12-31,"Approved","Section 61",129
2018-12-31,"Approved","Skilled Migrant",21
2018-12-31,"Approved","Skilled Work",3696
2018-12-31,"Approved","Work -RSE",363
2018-12-31,"Approved","Work to Residence",705
2018-12-31,"Approved","Working Holiday",4014
2018-12-31,"Declined","Approved In Principle",12
2018-12-31,"Declined","Crew",0
2018-12-31,"Declined","Humanitarian",63
2018-12-31,"Declined","Job Search",18
2018-12-31,"Declined","LTBV/Investor",3
2018-12-31,"Declined","Other",126
2018-12-31,"Declined","Relationship",150
2018-12-31,"Declined","Skilled Work",363
2018-12-31,"Declined","Work -RSE",6
2018-12-31,"Declined","Work to Residence",45
2018-12-31,"Declined","Working Holiday",111
2019-01-31,"Approved","Approved In Principle",306
2019-01-31,"Approved","Crew",24
2019-01-31,"Approved","Humanitarian",87
2019-01-31,"Approved","Job Search",1833
2019-01-31,"Approved","LTBV/Investor",12
2019-01-31,"Approved","Other",2748
2019-01-31,"Approved","Relationship",3060
2019-01-31,"Approved","Section 61",126
2019-01-31,"Approved","Skilled Migrant",27
2019-01-31,"Approved","Skilled Work",4485
2019-01-31,"Approved","Work -RSE",1056
2019-01-31,"Approved","Work to Residence",747
2019-01-31,"Approved","Working Holiday",5757
2019-01-31,"Declined","Approved In Principle",15
2019-01-31,"Declined","Crew",6
2019-01-31,"Declined","Humanitarian",48
2019-01-31,"Declined","Job Search",21
2019-01-31,"Declined","LTBV/Investor",18
2019-01-31,"Declined","Other",147
2019-01-31,"Declined","Relationship",213
2019-01-31,"Declined","Skilled Work",468
2019-01-31,"Declined","Work -RSE",12
2019-01-31,"Declined","Work to Residence",57
2019-01-31,"Declined","Working Holiday",180
2019-02-28,"Approved","Approved In Principle",162
2019-02-28,"Approved","Crew",33
2019-02-28,"Approved","Humanitarian",117
2019-02-28,"Approved","Job Search",4071
2019-02-28,"Approved","LTBV/Investor",12
2019-02-28,"Approved","Other",2709
2019-02-28,"Approved","Relationship",3204
2019-02-28,"Approved","Section 61",63
2019-02-28,"Approved","Skilled Migrant",27
2019-02-28,"Approved","Skilled Work",3450
2019-02-28,"Approved","Work -RSE",2607
2019-02-28,"Approved","Work to Residence",666
2019-02-28,"Approved","Working Holiday",3369
2019-02-28,"Declined","Approved In Principle",9
2019-02-28,"Declined","Crew",3
2019-02-28,"Declined","Humanitarian",42
2019-02-28,"Declined","Job Search",24
2019-02-28,"Declined","LTBV/Investor",15
2019-02-28,"Declined","Other",141
2019-02-28,"Declined","Relationship",177
2019-02-28,"Declined","Section 61",0
2019-02-28,"Declined","Skilled Work",465
2019-02-28,"Declined","Work -RSE",30
2019-02-28,"Declined","Work to Residence",51
2019-02-28,"Declined","Working Holiday",153
2019-03-31,"Approved","Approved In Principle",180
2019-03-31,"Approved","Crew",198
2019-03-31,"Approved","Humanitarian",129
2019-03-31,"Approved","IPT Order",0
2019-03-31,"Approved","Job Search",5187
2019-03-31,"Approved","LTBV/Investor",6
2019-03-31,"Approved","Other",2739
2019-03-31,"Approved","Relationship",3651
2019-03-31,"Approved","Section 61",81
2019-03-31,"Approved","Skilled Migrant",24
2019-03-31,"Approved","Skilled Work",3816
2019-03-31,"Approved","Work -RSE",2340
2019-03-31,"Approved","Work to Residence",738
2019-03-31,"Approved","Working Holiday",5178
2019-03-31,"Declined","Approved In Principle",9
2019-03-31,"Declined","Humanitarian",66
2019-03-31,"Declined","Job Search",24
2019-03-31,"Declined","LTBV/Investor",15
2019-03-31,"Declined","Other",162
2019-03-31,"Declined","Relationship",210
2019-03-31,"Declined","Section 61",3
2019-03-31,"Declined","Skilled Work",459
2019-03-31,"Declined","Work -RSE",24
2019-03-31,"Declined","Work to Residence",51
2019-03-31,"Declined","Working Holiday",243
2019-04-30,"Approved","Approved In Principle",162
2019-04-30,"Approved","Crew",339
2019-04-30,"Approved","Humanitarian",69
2019-04-30,"Approved","IPT Order",3
2019-04-30,"Approved","Job Search",2544
2019-04-30,"Approved","LTBV/Investor",3
2019-04-30,"Approved","Other",2253
2019-04-30,"Approved","Relationship",3114
2019-04-30,"Approved","Section 61",84
2019-04-30,"Approved","Skilled Migrant",15
2019-04-30,"Approved","Skilled Work",3594
2019-04-30,"Approved","Work -RSE",618
2019-04-30,"Approved","Work to Residence",870
2019-04-30,"Approved","Working Holiday",3519
2019-04-30,"Declined","Approved In Principle",9
2019-04-30,"Declined","Crew",3
2019-04-30,"Declined","Humanitarian",42
2019-04-30,"Declined","Job Search",69
2019-04-30,"Declined","LTBV/Investor",21
2019-04-30,"Declined","Other",150
2019-04-30,"Declined","Relationship",204
2019-04-30,"Declined","Skilled Work",465
2019-04-30,"Declined","Work -RSE",12
2019-04-30,"Declined","Work to Residence",57
2019-04-30,"Declined","Working Holiday",135
2019-05-31,"Approved","Approved In Principle",90
2019-05-31,"Approved","Crew",96
2019-05-31,"Approved","Humanitarian",135
2019-05-31,"Approved","IPT Order",3
2019-05-31,"Approved","Job Search",2478
2019-05-31,"Approved","LTBV/Investor",6
2019-05-31,"Approved","Other",2805
2019-05-31,"Approved","Relationship",3780
2019-05-31,"Approved","Section 61",138
2019-05-31,"Approved","Skilled Migrant",24
2019-05-31,"Approved","Skilled Work",5022
2019-05-31,"Approved","Work -RSE",612
2019-05-31,"Approved","Work to Residence",1227
2019-05-31,"Approved","Working Holiday",4605
2019-05-31,"Declined","Approved In Principle",9
2019-05-31,"Declined","Humanitarian",78
2019-05-31,"Declined","Job Search",27
2019-05-31,"Declined","LTBV/Investor",27
2019-05-31,"Declined","Other",177
2019-05-31,"Declined","Relationship",216
2019-05-31,"Declined","Section 61",3
2019-05-31,"Declined","Skilled Work",564
2019-05-31,"Declined","Work -RSE",6
2019-05-31,"Declined","Work to Residence",66
2019-05-31,"Declined","Working Holiday",213
2019-06-30,"Approved","Approved In Principle",60
2019-06-30,"Approved","Crew",12
2019-06-30,"Approved","Humanitarian",102
2019-06-30,"Approved","IPT Order",3
2019-06-30,"Approved","Job Search",1530
2019-06-30,"Approved","LTBV/Investor",12
2019-06-30,"Approved","Other",2640
2019-06-30,"Approved","Relationship",3252
2019-06-30,"Approved","Section 61",120
2019-06-30,"Approved","Skilled Migrant",24
2019-06-30,"Approved","Skilled Work",4620
2019-06-30,"Approved","Work -RSE",231
2019-06-30,"Approved","Work to Residence",972
2019-06-30,"Approved","Working Holiday",5067
2019-06-30,"Declined","Approved In Principle",9
2019-06-30,"Declined","Crew",3
2019-06-30,"Declined","Humanitarian",54
2019-06-30,"Declined","Job Search",24
2019-06-30,"Declined","LTBV/Investor",12
2019-06-30,"Declined","Other",168
2019-06-30,"Declined","Relationship",177
2019-06-30,"Declined","Skilled Work",483
2019-06-30,"Declined","Work -RSE",6
2019-06-30,"Declined","Work to Residence",75
2019-06-30,"Declined","Working Holiday",156
2019-07-31,"Approved","Approved In Principle",204
2019-07-31,"Approved","Crew",30
2019-07-31,"Approved","Humanitarian",75
2019-07-31,"Approved","IPT Order",9
2019-07-31,"Approved","Job Search",2754
2019-07-31,"Approved","LTBV/Investor",15
2019-07-31,"Approved","Other",2328
2019-07-31,"Approved","Relationship",3999
2019-07-31,"Approved","Section 61",141
2019-07-31,"Approved","Skilled Migrant",33
2019-07-31,"Approved","Skilled Work",5766
2019-07-31,"Approved","Work -RSE",81
2019-07-31,"Approved","Work to Residence",1191
2019-07-31,"Approved","Working Holiday",5421
2019-07-31,"Declined","Approved In Principle",3
2019-07-31,"Declined","Humanitarian",57
2019-07-31,"Declined","Job Search",33
2019-07-31,"Declined","LTBV/Investor",18
2019-07-31,"Declined","Other",120
2019-07-31,"Declined","Relationship",249
2019-07-31,"Declined","Skilled Work",648
2019-07-31,"Declined","Work -RSE",6
2019-07-31,"Declined","Work to Residence",90
2019-07-31,"Declined","Working Holiday",357
2019-08-31,"Approved","Approved In Principle",219
2019-08-31,"Approved","Crew",48
2019-08-31,"Approved","Humanitarian",93
2019-08-31,"Approved","IPT Order",0
2019-08-31,"Approved","Job Search",3021
2019-08-31,"Approved","LTBV/Investor",21
2019-08-31,"Approved","Other",2019
2019-08-31,"Approved","Relationship",3741
2019-08-31,"Approved","Section 61",90
2019-08-31,"Approved","Skilled Migrant",18
2019-08-31,"Approved","Skilled Work",5754
2019-08-31,"Approved","Work -RSE",252
2019-08-31,"Approved","Work to Residence",1251
2019-08-31,"Approved","Working Holiday",4791
2019-08-31,"Declined","Approved In Principle",12
2019-08-31,"Declined","Crew",0
2019-08-31,"Declined","Humanitarian",93
2019-08-31,"Declined","Job Search",21
2019-08-31,"Declined","LTBV/Investor",39
2019-08-31,"Declined","Other",72
2019-08-31,"Declined","Relationship",216
2019-08-31,"Declined","Skilled Work",723
2019-08-31,"Declined","Work -RSE",3
2019-08-31,"Declined","Work to Residence",60
2019-08-31,"Declined","Working Holiday",204
2019-09-30,"Approved","Approved In Principle",276
2019-09-30,"Approved","Crew",429
2019-09-30,"Approved","Humanitarian",132
2019-09-30,"Approved","IPT Order",6
2019-09-30,"Approved","Job Search",2217
2019-09-30,"Approved","LTBV/Investor",24
2019-09-30,"Approved","Other",2904
2019-09-30,"Approved","Relationship",3273
2019-09-30,"Approved","Section 61",108
2019-09-30,"Approved","Skilled Migrant",12
2019-09-30,"Approved","Skilled Work",4092
2019-09-30,"Approved","Work -RSE",1374
2019-09-30,"Approved","Work to Residence",1644
2019-09-30,"Approved","Working Holiday",6705
2019-09-30,"Declined","Approved In Principle",15
2019-09-30,"Declined","Crew",3
2019-09-30,"Declined","Humanitarian",93
2019-09-30,"Declined","Job Search",24
2019-09-30,"Declined","LTBV/Investor",18
2019-09-30,"Declined","Other",120
2019-09-30,"Declined","Relationship",216
2019-09-30,"Declined","Skilled Work",537
2019-09-30,"Declined","Work -RSE",3
2019-09-30,"Declined","Work to Residence",63
2019-09-30,"Declined","Working Holiday",219
2019-10-31,"Approved","Approved In Principle",306
2019-10-31,"Approved","Crew",201
2019-10-31,"Approved","Humanitarian",96
2019-10-31,"Approved","IPT Order",0
2019-10-31,"Approved","Job Search",1131
2019-10-31,"Approved","LTBV/Investor",12
2019-10-31,"Approved","Other",2463
2019-10-31,"Approved","Relationship",3453
2019-10-31,"Approved","Section 61",84
2019-10-31,"Approved","Skilled Migrant",18
2019-10-31,"Approved","Skilled Work",5478
2019-10-31,"Approved","Work -RSE",2868
2019-10-31,"Approved","Work to Residence",1281
2019-10-31,"Approved","Working Holiday",6816
2019-10-31,"Declined","Approved In Principle",6
2019-10-31,"Declined","Crew",3
2019-10-31,"Declined","Humanitarian",84
2019-10-31,"Declined","Job Search",21
2019-10-31,"Declined","LTBV/Investor",21
2019-10-31,"Declined","Other",159
2019-10-31,"Declined","Relationship",330
2019-10-31,"Declined","Skilled Work",693
2019-10-31,"Declined","Work -RSE",9
2019-10-31,"Declined","Work to Residence",69
2019-10-31,"Declined","Working Holiday",336
2019-11-30,"Approved","Approved In Principle",180
2019-11-30,"Approved","Crew",27
2019-11-30,"Approved","Humanitarian",87
2019-11-30,"Approved","IPT Order",6
2019-11-30,"Approved","Job Search",1332
2019-11-30,"Approved","LTBV/Investor",12
2019-11-30,"Approved","Other",2154
2019-11-30,"Approved","Relationship",3621
2019-11-30,"Approved","Section 61",129
2019-11-30,"Approved","Skilled Migrant",12
2019-11-30,"Approved","Skilled Work",4413
2019-11-30,"Approved","Work -RSE",1611
2019-11-30,"Approved","Work to Residence",1722
2019-11-30,"Approved","Working Holiday",4563
2019-11-30,"Declined","Approved In Principle",9
2019-11-30,"Declined","Humanitarian",57
2019-11-30,"Declined","Job Search",36
2019-11-30,"Declined","LTBV/Investor",12
2019-11-30,"Declined","Other",93
2019-11-30,"Declined","Relationship",201
2019-11-30,"Declined","Section 61",0
2019-11-30,"Declined","Skilled Work",495
2019-11-30,"Declined","Work -RSE",18
2019-11-30,"Declined","Work to Residence",102
2019-11-30,"Declined","Working Holiday",306
2019-12-31,"Approved","Approved In Principle",291
2019-12-31,"Approved","Crew",51
2019-12-31,"Approved","Humanitarian",96
2019-12-31,"Approved","IPT Order",6
2019-12-31,"Approved","Job Search",843
2019-12-31,"Approved","LTBV/Investor",6
2019-12-31,"Approved","Other",2697
2019-12-31,"Approved","Relationship",3252
2019-12-31,"Approved","Section 61",120
2019-12-31,"Approved","Skilled Migrant",12
2019-12-31,"Approved","Skilled Work",4005
2019-12-31,"Approved","Work -RSE",456
2019-12-31,"Approved","Work to Residence",1161
2019-12-31,"Approved","Working Holiday",3417
2019-12-31,"Declined","Approved In Principle",12
2019-12-31,"Declined","Humanitarian",81
2019-12-31,"Declined","Job Search",18
2019-12-31,"Declined","LTBV/Investor",12
2019-12-31,"Declined","Other",126
2019-12-31,"Declined","Relationship",141
2019-12-31,"Declined","Skilled Work",333
2019-12-31,"Declined","Work -RSE",6
2019-12-31,"Declined","Work to Residence",87
2019-12-31,"Declined","Working Holiday",111
2020-01-31,"Approved","Approved In Principle",294
2020-01-31,"Approved","Crew",36
2020-01-31,"Approved","Humanitarian",114
2020-01-31,"Approved","IPT Order",6
2020-01-31,"Approved","Job Search",1422
2020-01-31,"Approved","LTBV/Investor",27
2020-01-31,"Approved","Other",1983
2020-01-31,"Approved","Relationship",3093
2020-01-31,"Approved","Section 61",90
2020-01-31,"Approved","Skilled Migrant",12
2020-01-31,"Approved","Skilled Work",4245
2020-01-31,"Approved","Work -RSE",1698
2020-01-31,"Approved","Work to Residence",657
2020-01-31,"Approved","Working Holiday",5160
2020-01-31,"Declined","Approved In Principle",12
2020-01-31,"Declined","Humanitarian",60
2020-01-31,"Declined","Job Search",24
2020-01-31,"Declined","LTBV/Investor",12
2020-01-31,"Declined","Other",120
2020-01-31,"Declined","Relationship",153
2020-01-31,"Declined","Skilled Work",321
2020-01-31,"Declined","Work -RSE",6
2020-01-31,"Declined","Work to Residence",75
2020-01-31,"Declined","Working Holiday",150
2020-02-29,"Approved","Approved In Principle",69
2020-02-29,"Approved","Crew",27
2020-02-29,"Approved","Humanitarian",135
2020-02-29,"Approved","Job Search",1542
2020-02-29,"Approved","LTBV/Investor",18
2020-02-29,"Approved","Other",2121
2020-02-29,"Approved","Relationship",3192
2020-02-29,"Approved","Section 61",84
