"Date","Decision Type","Application Substream","Count"
2015-12-31,"Declined","Humanitarian",12
2015-12-31,"Declined","Job Search",27
2015-12-31,"Declined","LTBV/Investor",6
2015-12-31,"Declined","Other",114
2015-12-31,"Declined","Relationship",201
2015-12-31,"Declined","Skilled Work",354
2015-12-31,"Declined","Work -RSE",6
2015-12-31,"Declined","Work to Residence",15
2015-12-31,"Declined","Working Holiday",123
2016-01-31,"Approved","Approved In Principle",162
2016-01-31,"Approved","Crew",24
2016-01-31,"Approved","Humanitarian",66
2016-01-31,"Approved","Job Search",621
2016-01-31,"Approved","LTBV/Investor",18
2016-01-31,"Approved","Other",2898
2016-01-31,"Approved","Relationship",2307
2016-01-31,"Approved","Section 61",201
2016-01-31,"Approved","Skilled Migrant",9
2016-01-31,"Approved","Skilled Work",2691
2016-01-31,"Approved","Work -RSE",606
2016-01-31,"Approved","Work to Residence",213
2016-01-31,"Approved","Working Holiday",5883
2016-01-31,"Declined","Approved In Principle",18
2016-01-31,"Declined","Crew",0
2016-01-31,"Declined","Humanitarian",12
2016-01-31,"Declined","Job Search",24
2016-01-31,"Declined","LTBV/Investor",24
2016-01-31,"Declined","Other",78
2016-01-31,"Declined","Relationship",141
2016-01-31,"Declined","Section 61",0
2016-01-31,"Declined","Skilled Work",324
2016-01-31,"Declined","Work -RSE",3
2016-01-31,"Declined","Work to Residence",15
2016-01-31,"Declined","Working Holiday",114
2016-02-29,"Approved","Approved In Principle",111
2016-02-29,"Approved","Crew",66
2016-02-29,"Approved","Humanitarian",66
2016-02-29,"Approved","Job Search",1431
2016-02-29,"Approved","LTBV/Investor",33
2016-02-29,"Approved","Other",2808
2016-02-29,"Approved","Relationship",2874
2016-02-29,"Approved","Section 61",129
2016-02-29,"Approved","Skilled Migrant",12
2016-02-29,"Approved","Skilled Work",2898
2016-02-29,"Approved","Work -RSE",2451
2016-02-29,"Approved","Work to Residence",228
2016-02-29,"Approved","Working Holiday",3990
2016-02-29,"Declined","Approved In Principle",12
2016-02-29,"Declined","Crew",0
2016-02-29,"Declined","Humanitarian",15
2016-02-29,"Declined","Job Search",36
2016-02-29,"Declined","LTBV/Investor",33
2016-02-29,"Declined","Other",108
2016-02-29,"Declined","Relationship",195
2016-02-29,"Declined","Section 61",3
2016-02-29,"Declined","Skilled Work",483
2016-02-29,"Declined","Work -RSE",12
2016-02-29,"Declined","Work to Residence",30
2016-02-29,"Declined","Working Holiday",129
2016-03-31,"Approved","Approved In Principle",69
2016-03-31,"Approved","Crew",48
2016-03-31,"Approved","Humanitarian",69
2016-03-31,"Approved","Job Search",3204
2016-03-31,"Approved","LTBV/Investor",60
2016-03-31,"Approved","Other",3291
2016-03-31,"Approved","Relationship",3240
2016-03-31,"Approved","Section 61",147
2016-03-31,"Approved","Skilled Migrant",18
2016-03-31,"Approved","Skilled Work",3183
2016-03-31,"Approved","Work -RSE",1440
2016-03-31,"Approved","Work to Residence",267
2016-03-31,"Approved","Working Holiday",5136
2016-03-31,"Declined","Approved In Principle",15
2016-03-31,"Declined","Crew",0
2016-03-31,"Declined","Humanitarian",15
2016-03-31,"Declined","Job Search",39
2016-03-31,"Declined","LTBV/Investor",45
2016-03-31,"Declined","Other",96
2016-03-31,"Declined","Relationship",192
