"Year Ended May","Decision Type","Nationality","Occupation Skill Level","Count"
"2018","Approved","India","Skill level 4",3450
"2018","Approved","India","Skill level 5",1188
"2018","Approved","Indonesia","(not recorded)",738
"2018","Approved","Indonesia","Skill level 1",144
"2018","Approved","Indonesia","Skill level 2",132
"2018","Approved","Indonesia","Skill level 3",51
"2018","Approved","Indonesia","Skill level 4",435
"2018","Approved","Indonesia","Skill level 5",108
"2018","Approved","Iran","(not recorded)",267
"2018","Approved","Iran","Skill level 1",51
"2018","Approved","Iran","Skill level 2",21
"2018","Approved","Iran","Skill level 3",3
"2018","Approved","Iran","Skill level 4",6
"2018","Approved","Iraq","(not recorded)",72
"2018","Approved","Iraq","Skill level 1",3
"2018","Approved","Iraq","Skill level 3",3
"2018","Approved","Ireland","(not recorded)",2073
"2018","Approved","Ireland","Skill level 1",477
"2018","Approved","Ireland","Skill level 2",132
"2018","Approved","Ireland","Skill level 3",216
"2018","Approved","Ireland","Skill level 4",234
"2018","Approved","Ireland","Skill level 5",63
"2018","Approved","Israel","(not recorded)",255
"2018","Approved","Israel","Skill level 1",27
"2018","Approved","Israel","Skill level 2",9
"2018","Approved","Israel","Skill level 3",6
"2018","Approved","Israel","Skill level 4",15
"2018","Approved","Israel","Skill level 5",3
"2018","Approved","Italy","(not recorded)",2661
"2018","Approved","Italy","Skill level 1",162
"2018","Approved","Italy","Skill level 2",201
"2018","Approved","Italy","Skill level 3",198
"2018","Approved","Italy","Skill level 4",93
"2018","Approved","Italy","Skill level 5",120
"2018","Approved","Ivory Coast","(not recorded)",0
"2018","Approved","Ivory Coast","Skill level 1",0
"2018","Approved","Jamaica","(not recorded)",6
"2018","Approved","Jamaica","Skill level 1",33
"2018","Approved","Jamaica","Skill level 3",6
"2018","Approved","Jamaica","Skill level 4",3
"2018","Approved","Jamaica","Skill level 5",3
"2018","Approved","Japan","(not recorded)",3279
"2018","Approved","Japan","Skill level 1",339
"2018","Approved","Japan","Skill level 2",282
"2018","Approved","Japan","Skill level 3",168
"2018","Approved","Japan","Skill level 4",273
"2018","Approved","Japan","Skill level 5",102
"2018","Approved","Jordan","(not recorded)",48
"2018","Approved","Jordan","Skill level 1",6
"2018","Approved","Jordan","Skill level 2",24
"2018","Approved","Jordan","Skill level 3",30
"2018","Approved","Jordan","Skill level 4",3
"2018","Approved","Jordan","Skill level 5",0
"2018","Approved","Kazakhstan","(not recorded)",81
"2018","Approved","Kazakhstan","Skill level 1",15
"2018","Approved","Kazakhstan","Skill level 2",6
"2018","Approved","Kazakhstan","Skill level 3",3
"2018","Approved","Kazakhstan","Skill level 4",3
"2018","Approved","Kenya","(not recorded)",63
"2018","Approved","Kenya","Skill level 1",21
"2018","Approved","Kenya","Skill level 2",6
"2018","Approved","Kenya","Skill level 3",6
"2018","Approved","Kenya","Skill level 4",3
"2018","Approved","Kenya","Skill level 5",3
"2018","Approved","Kiribati","(not recorded)",318
"2018","Approved","Kiribati","Skill level 1",3
"2018","Approved","Kiribati","Skill level 2",3
"2018","Approved","Kiribati","Skill level 3",0
"2018","Approved","Kiribati","Skill level 4",30
"2018","Approved","Kiribati","Skill level 5",3
"2018","Approved","Kosovo - Republic of","(not recorded)",3
"2018","Approved","Kosovo - Republic of","Skill level 2",3
"2018","Approved","Kosovo - Republic of","Skill level 3",0
"2018","Approved","Kuwait","(not recorded)",3
"2018","Approved","Kyrgyzstan","(not recorded)",3
"2018","Approved","Kyrgyzstan","Skill level 1",3
"2018","Approved","Laos","(not recorded)",9
"2018","Approved","Laos","Skill level 1",3
"2018","Approved","Laos","Skill level 2",0
"2018","Approved","Laos","Skill level 3",3
"2018","Approved","Laos","Skill level 4",0
"2018","Approved","Laos","Skill level 5",3
"2018","Approved","Latvia","(not recorded)",138
"2018","Approved","Latvia","Skill level 1",15
"2018","Approved","Latvia","Skill level 2",6
"2018","Approved","Latvia","Skill level 3",9
"2018","Approved","Latvia","Skill level 4",9
"2018","Approved","Latvia","Skill level 5",9
"2018","Approved","Lebanon","(not recorded)",18
"2018","Approved","Lebanon","Skill level 1",9
"2018","Approved","Lebanon","Skill level 2",0
"2018","Approved","Lebanon","Skill level 3",3
"2018","Approved","Lesotho","Skill level 3",3
"2018","Approved","Liberia","(not recorded)",3
"2018","Approved","Libya","(not recorded)",6
"2018","Approved","Libya","Skill level 1",3
"2018","Approved","Libya","Skill level 5",3
"2018","Approved","Liechtenstein","(not recorded)",0
"2018","Approved","Lithuania","(not recorded)",129
"2018","Approved","Lithuania","Skill level 1",24
"2018","Approved","Lithuania","Skill level 2",0
"2018","Approved","Lithuania","Skill level 3",12
"2018","Approved","Lithuania","Skill level 4",6
"2018","Approved","Luxembourg","(not recorded)",42
"2018","Approved","Luxembourg","Skill level 2",0
"2018","Approved","Luxembourg","Skill level 3",0
"2018","Approved","Macau","(not recorded)",12
"2018","Approved","Macau","Skill level 1",3
"2018","Approved","Macau","Skill level 4",15
"2018","Approved","Macau","Skill level 5",0
"2018","Approved","Macedonia","(not recorded)",18
"2018","Approved","Macedonia","Skill level 1",9
"2018","Approved","Macedonia","Skill level 2",3
"2018","Approved","Macedonia","Skill level 3",9
"2018","Approved","Macedonia","Skill level 4",0
"2018","Approved","Macedonia","Skill level 5",12
"2018","Approved","Madagascar","(not recorded)",3
"2018","Approved","Madagascar","Skill level 5",0
"2018","Approved","Malawi","(not recorded)",9
"2018","Approved","Malawi","Skill level 1",0
"2018","Approved","Malawi","Skill level 3",0
"2018","Approved","Malawi","Skill level 4",0
"2018","Approved","Malaysia","(not recorded)",2886
"2018","Approved","Malaysia","Skill level 1",315
"2018","Approved","Malaysia","Skill level 2",195
"2018","Approved","Malaysia","Skill level 3",216
"2018","Approved","Malaysia","Skill level 4",144
"2018","Approved","Malaysia","Skill level 5",126
"2018","Approved","Maldives","(not recorded)",15
"2018","Approved","Maldives","Skill level 1",3
"2018","Approved","Maldives","Skill level 3",0
"2018","Approved","Malta","(not recorded)",12
"2018","Approved","Malta","Skill level 1",3
"2018","Approved","Malta","Skill level 2",3
"2018","Approved","Malta","Skill level 3",3
"2018","Approved","Malta","Skill level 4",3
"2018","Approved","Marshall Islands","Skill level 1",3
"2018","Approved","Mauritius","(not recorded)",36
"2018","Approved","Mauritius","Skill level 1",9
"2018","Approved","Mauritius","Skill level 2",3
"2018","Approved","Mauritius","Skill level 3",12
"2018","Approved","Mauritius","Skill level 4",3
"2018","Approved","Mexico","(not recorded)",399
"2018","Approved","Mexico","Skill level 1",51
"2018","Approved","Mexico","Skill level 2",48
"2018","Approved","Mexico","Skill level 3",33
"2018","Approved","Mexico","Skill level 4",30
"2018","Approved","Mexico","Skill level 5",27
"2018","Approved","Moldova","(not recorded)",3
"2018","Approved","Moldova","Skill level 1",6
"2018","Approved","Moldova","Skill level 3",3
"2018","Approved","Moldova","Skill level 4",3
"2018","Approved","Moldova","Skill level 5",0
"2018","Approved","Mongolia","(not recorded)",6
"2018","Approved","Mongolia","Skill level 1",9
"2018","Approved","Mongolia","Skill level 3",3
"2018","Approved","Mongolia","Skill level 4",3
"2018","Approved","Montenegro","(not recorded)",0
"2018","Approved","Morocco","(not recorded)",15
"2018","Approved","Morocco","Skill level 1",6
"2018","Approved","Morocco","Skill level 2",3
"2018","Approved","Mozambique","(not recorded)",3
"2018","Approved","Mozambique","Skill level 1",3
"2018","Approved","Myanmar","(not recorded)",33
"2018","Approved","Myanmar","Skill level 1",6
"2018","Approved","Myanmar","Skill level 2",3
"2018","Approved","Myanmar","Skill level 4",6
"2018","Approved","Myanmar","Skill level 5",9
"2018","Approved","Namibia","(not recorded)",6
"2018","Approved","Namibia","Skill level 1",6
"2018","Approved","Namibia","Skill level 3",3
"2018","Approved","Nauru","(not recorded)",15
"2018","Approved","Nepal","(not recorded)",813
"2018","Approved","Nepal","Skill level 1",72
"2018","Approved","Nepal","Skill level 2",228
"2018","Approved","Nepal","Skill level 3",75
"2018","Approved","Nepal","Skill level 4",168
"2018","Approved","Nepal","Skill level 5",210
"2018","Approved","Netherlands","(not recorded)",1992
"2018","Approved","Netherlands","Skill level 1",249
"2018","Approved","Netherlands","Skill level 2",45
"2018","Approved","Netherlands","Skill level 3",81
"2018","Approved","Netherlands","Skill level 4",72
"2018","Approved","Netherlands","Skill level 5",48
"2018","Approved","Nicaragua","(not recorded)",3
"2018","Approved","Nicaragua","Skill level 5",0
"2018","Approved","Niger","(not recorded)",0
"2018","Approved","Nigeria","(not recorded)",81
"2018","Approved","Nigeria","Skill level 1",15
"2018","Approved","Nigeria","Skill level 2",3
"2018","Approved","Nigeria","Skill level 3",6
"2018","Approved","Nigeria","Skill level 4",6
"2018","Approved","Nigeria","Skill level 5",0
"2018","Approved","Norway","(not recorded)",144
"2018","Approved","Norway","Skill level 1",27
"2018","Approved","Norway","Skill level 2",3
"2018","Approved","Norway","Skill level 3",3
"2018","Approved","Norway","Skill level 5",3
"2018","Approved","Oman","(not recorded)",6
"2018","Approved","Oman","Skill level 1",6
"2018","Approved","Pakistan","(not recorded)",330
"2018","Approved","Pakistan","Skill level 1",93
"2018","Approved","Pakistan","Skill level 2",36
"2018","Approved","Pakistan","Skill level 3",18
"2018","Approved","Pakistan","Skill level 4",9
"2018","Approved","Pakistan","Skill level 5",0
"2018","Approved","Palestine","(not recorded)",9
"2018","Approved","Palestine","Skill level 1",3
"2018","Approved","Panama","(not recorded)",0
"2018","Approved","Panama","Skill level 1",3
"2018","Approved","Panama","Skill level 4",3
"2018","Approved","Papua New Guinea","(not recorded)",159
"2018","Approved","Papua New Guinea","Skill level 1",9
"2018","Approved","Papua New Guinea","Skill level 2",0
"2018","Approved","Papua New Guinea","Skill level 3",12
"2018","Approved","Papua New Guinea","Skill level 4",0
"2018","Approved","Papua New Guinea","Skill level 5",3
"2018","Approved","Paraguay","(not recorded)",6
"2018","Approved","Paraguay","Skill level 1",3
"2018","Approved","Paraguay","Skill level 5",3
"2018","Approved","Peru","(not recorded)",195
"2018","Approved","Peru","Skill level 1",18
"2018","Approved","Peru","Skill level 2",18
"2018","Approved","Peru","Skill level 3",15
"2018","Approved","Peru","Skill level 4",15
"2018","Approved","Peru","Skill level 5",24
"2018","Approved","Philippines","(not recorded)",5640
"2018","Approved","Philippines","Skill level 1",1989
"2018","Approved","Philippines","Skill level 2",732
"2018","Approved","Philippines","Skill level 3",3699
"2018","Approved","Philippines","Skill level 4",3444
"2018","Approved","Philippines","Skill level 5",2805
"2018","Approved","Poland","(not recorded)",210
"2018","Approved","Poland","Skill level 1",102
"2018","Approved","Poland","Skill level 2",27
"2018","Approved","Poland","Skill level 3",51
"2018","Approved","Poland","Skill level 4",30
"2018","Approved","Poland","Skill level 5",6
"2018","Approved","Portugal","(not recorded)",102
"2018","Approved","Portugal","Skill level 1",60
"2018","Approved","Portugal","Skill level 2",15
"2018","Approved","Portugal","Skill level 3",12
"2018","Approved","Portugal","Skill level 4",6
"2018","Approved","Portugal","Skill level 5",9
"2018","Approved","Romania","(not recorded)",33
"2018","Approved","Romania","Skill level 1",27
"2018","Approved","Romania","Skill level 2",18
"2018","Approved","Romania","Skill level 3",21
"2018","Approved","Romania","Skill level 4",6
"2018","Approved","Romania","Skill level 5",3
"2018","Approved","Russia","(not recorded)",630
"2018","Approved","Russia","Skill level 1",420
"2018","Approved","Russia","Skill level 2",186
"2018","Approved","Russia","Skill level 3",285
"2018","Approved","Russia","Skill level 4",387
"2018","Approved","Russia","Skill level 5",33
"2018","Approved","Rwanda","(not recorded)",3
"2018","Approved","Samoa","(not recorded)",2625
"2018","Approved","Samoa","Skill level 1",24
"2018","Approved","Samoa","Skill level 2",18
"2018","Approved","Samoa","Skill level 3",39
"2018","Approved","Samoa","Skill level 4",207
"2018","Approved","Samoa","Skill level 5",75
"2018","Approved","Saudi Arabia","(not recorded)",72
"2018","Approved","Saudi Arabia","Skill level 1",6
"2018","Approved","Saudi Arabia","Skill level 2",0
"2018","Approved","Saudi Arabia","Skill level 5",0
"2018","Approved","Serbia","(not recorded)",45
"2018","Approved","Serbia","Skill level 1",30
"2018","Approved","Serbia","Skill level 2",18
"2018","Approved","Serbia","Skill level 3",72
"2018","Approved","Serbia","Skill level 4",12
"2018","Approved","Serbia","Skill level 5",6
"2018","Approved","Seychelles","(not recorded)",0
"2018","Approved","Singapore","(not recorded)",399
"2018","Approved","Singapore","Skill level 1",144
"2018","Approved","Singapore","Skill level 2",21
"2018","Approved","Singapore","Skill level 3",21
"2018","Approved","Singapore","Skill level 4",15
"2018","Approved","Singapore","Skill level 5",3
"2018","Approved","Slovakia","(not recorded)",147
"2018","Approved","Slovakia","Skill level 1",18
"2018","Approved","Slovakia","Skill level 2",12
"2018","Approved","Slovakia","Skill level 3",21
"2018","Approved","Slovakia","Skill level 4",18
"2018","Approved","Slovakia","Skill level 5",6
"2018","Approved","Slovenia","(not recorded)",150
"2018","Approved","Slovenia","Skill level 1",15
"2018","Approved","Slovenia","Skill level 2",6
"2018","Approved","Slovenia","Skill level 3",12
"2018","Approved","Slovenia","Skill level 4",15
"2018","Approved","Slovenia","Skill level 5",3
"2018","Approved","Solomon Islands","(not recorded)",678
"2018","Approved","Solomon Islands","Skill level 1",3
"2018","Approved","Solomon Islands","Skill level 2",3
"2018","Approved","Solomon Islands","Skill level 3",3
"2018","Approved","Solomon Islands","Skill level 4",3
"2018","Approved","Solomon Islands","Skill level 5",0
"2018","Approved","Somalia","(not recorded)",24
"2018","Approved","South Africa","(not recorded)",2079
"2018","Approved","South Africa","Skill level 1",1323
"2018","Approved","South Africa","Skill level 2",435
"2018","Approved","South Africa","Skill level 3",1167
"2018","Approved","South Africa","Skill level 4",210
"2018","Approved","South Africa","Skill level 5",93
"2018","Approved","South Korea","(not recorded)",4488
"2018","Approved","South Korea","Skill level 1",531
"2018","Approved","South Korea","Skill level 2",735
"2018","Approved","South Korea","Skill level 3",333
"2018","Approved","South Korea","Skill level 4",126
"2018","Approved","South Korea","Skill level 5",72
"2018","Approved","Spain","(not recorded)",375
"2018","Approved","Spain","Skill level 1",132
"2018","Approved","Spain","Skill level 2",21
"2018","Approved","Spain","Skill level 3",69
"2018","Approved","Spain","Skill level 4",33
"2018","Approved","Spain","Skill level 5",36
"2018","Approved","Sri Lanka","(not recorded)",1413
"2018","Approved","Sri Lanka","Skill level 1",255
"2018","Approved","Sri Lanka","Skill level 2",246
"2018","Approved","Sri Lanka","Skill level 3",657
"2018","Approved","Sri Lanka","Skill level 4",78
"2018","Approved","Sri Lanka","Skill level 5",153
"2018","Approved","St Kitts - Nevis","Skill level 2",3
"2018","Approved","St Lucia","(not recorded)",0
"2018","Approved","St Vincent and the Grenadines","(not recorded)",3
"2018","Approved","Stateless","(not recorded)",3
"2018","Approved","Stateless","Skill level 1",3
"2018","Approved","Sudan","(not recorded)",3
"2018","Approved","Sudan","Skill level 1",3
"2018","Approved","Suriname","Skill level 1",0
"2018","Approved","Swaziland","(not recorded)",0
"2018","Approved","Swaziland","Skill level 3",0
"2018","Approved","Sweden","(not recorded)",912
"2018","Approved","Sweden","Skill level 1",78
"2018","Approved","Sweden","Skill level 2",12
"2018","Approved","Sweden","Skill level 3",42
"2018","Approved","Sweden","Skill level 4",21
"2018","Approved","Sweden","Skill level 5",24
"2018","Approved","Switzerland","(not recorded)",93
"2018","Approved","Switzerland","Skill level 1",45
"2018","Approved","Switzerland","Skill level 2",12
"2018","Approved","Switzerland","Skill level 3",63
"2018","Approved","Switzerland","Skill level 4",15
"2018","Approved","Switzerland","Skill level 5",48
"2018","Approved","Syria","(not recorded)",21
"2018","Approved","Syria","Skill level 3",3
"2018","Approved","Taiwan","(not recorded)",1089
"2018","Approved","Taiwan","Skill level 1",111
"2018","Approved","Taiwan","Skill level 2",42
"2018","Approved","Taiwan","Skill level 3",48
"2018","Approved","Taiwan","Skill level 4",159
"2018","Approved","Taiwan","Skill level 5",54
"2018","Approved","Tajikistan","(not recorded)",3
"2018","Approved","Tajikistan","Skill level 3",3
"2018","Approved","Tanzania","(not recorded)",3
"2018","Approved","Tanzania","Skill level 1",3
"2018","Approved","Tanzania","Skill level 3",3
"2018","Approved","Thailand","(not recorded)",1413
"2018","Approved","Thailand","Skill level 1",114
"2018","Approved","Thailand","Skill level 2",504
"2018","Approved","Thailand","Skill level 3",93
"2018","Approved","Thailand","Skill level 4",261
"2018","Approved","Thailand","Skill level 5",105
"2018","Approved","Timor Leste","(not recorded)",0
"2018","Approved","Timor Leste","Skill level 1",0
"2018","Approved","Timor Leste","Skill level 5",3
"2018","Approved","Togo","(not recorded)",0
"2018","Approved","Tonga","(not recorded)",2730
"2018","Approved","Tonga","Skill level 1",27
"2018","Approved","Tonga","Skill level 2",12
"2018","Approved","Tonga","Skill level 3",102
"2018","Approved","Tonga","Skill level 4",84
"2018","Approved","Tonga","Skill level 5",63
"2018","Approved","Trinidad and Tobago","(not recorded)",6
"2018","Approved","Trinidad and Tobago","Skill level 1",9
"2018","Approved","Trinidad and Tobago","Skill level 2",0
"2018","Approved","Trinidad and Tobago","Skill level 3",3
"2018","Approved","Trinidad and Tobago","Skill level 4",0
"2018","Approved","Tunisia","(not recorded)",6
"2018","Approved","Tunisia","Skill level 1",9
"2018","Approved","Turkey","(not recorded)",135
"2018","Approved","Turkey","Skill level 1",21
"2018","Approved","Turkey","Skill level 2",24
"2018","Approved","Turkey","Skill level 3",63
"2018","Approved","Turkey","Skill level 4",6
"2018","Approved","Turkey","Skill level 5",3
"2018","Approved","Tuvalu","(not recorded)",126
"2018","Approved","Tuvalu","Skill level 3",0
"2018","Approved","Tuvalu","Skill level 4",3
"2018","Approved","Uganda","(not recorded)",36
"2018","Approved","Uganda","Skill level 1",3
"2018","Approved","Uganda","Skill level 4",3
"2018","Approved","Ukraine","(not recorded)",114
"2018","Approved","Ukraine","Skill level 1",162
"2018","Approved","Ukraine","Skill level 2",87
"2018","Approved","Ukraine","Skill level 3",78
"2018","Approved","Ukraine","Skill level 4",285
"2018","Approved","Ukraine","Skill level 5",54
"2018","Approved","United Arab Emirates","(not recorded)",3
"2018","Approved","United Kingdom","(not recorded)",16773
"2018","Approved","United Kingdom","Skill level 1",2853
"2018","Approved","United Kingdom","Skill level 2",906
"2018","Approved","United Kingdom","Skill level 3",1377
"2018","Approved","United Kingdom","Skill level 4",1173
"2018","Approved","United Kingdom","Skill level 5",426
"2018","Approved","United States of America","(not recorded)",7221
"2018","Approved","United States of America","Skill level 1",1917
"2018","Approved","United States of America","Skill level 2",177
"2018","Approved","United States of America","Skill level 3",384
"2018","Approved","United States of America","Skill level 4",390
"2018","Approved","United States of America","Skill level 5",132
"2018","Approved","Unknown","(not recorded)",30
"2018","Approved","Unknown","Skill level 1",15
"2018","Approved","Unknown","Skill level 2",3
"2018","Approved","Unknown","Skill level 3",3
"2018","Approved","Unknown","Skill level 4",0
"2018","Approved","Unknown","Skill level 5",0
"2018","Approved","Uruguay","(not recorded)",339
"2018","Approved","Uruguay","Skill level 1",30
"2018","Approved","Uruguay","Skill level 2",21
"2018","Approved","Uruguay","Skill level 3",21
"2018","Approved","Uruguay","Skill level 4",21
"2018","Approved","Uruguay","Skill level 5",159
"2018","Approved","Uzbekistan","(not recorded)",15
"2018","Approved","Uzbekistan","Skill level 1",9
"2018","Approved","Uzbekistan","Skill level 2",3
"2018","Approved","Uzbekistan","Skill level 3",3
"2018","Approved","Uzbekistan","Skill level 4",0
"2018","Approved","Vanuatu","(not recorded)",4758
"2018","Approved","Vanuatu","Skill level 1",3
"2018","Approved","Vanuatu","Skill level 2",3
"2018","Approved","Vanuatu","Skill level 3",3
"2018","Approved","Vanuatu","Skill level 4",3
"2018","Approved","Vanuatu","Skill level 5",0
"2018","Approved","Venezuela","(not recorded)",45
"2018","Approved","Venezuela","Skill level 1",9
"2018","Approved","Venezuela","Skill level 2",3
"2018","Approved","Venezuela","Skill level 3",3
"2018","Approved","Venezuela","Skill level 4",3
"2018","Approved","Venezuela","Skill level 5",3
"2018","Approved","Vietnam","(not recorded)",957
"2018","Approved","Vietnam","Skill level 1",114
"2018","Approved","Vietnam","Skill level 2",150
"2018","Approved","Vietnam","Skill level 3",33
"2018","Approved","Vietnam","Skill level 4",78
"2018","Approved","Vietnam","Skill level 5",33
"2018","Approved","Yemen","(not recorded)",6
"2018","Approved","Yemen","Skill level 1",3
"2018","Approved","Yemen","Skill level 2",0
"2018","Approved","Yemen","Skill level 3",0
"2018","Approved","Zambia","(not recorded)",12
"2018","Approved","Zambia","Skill level 1",3
"2018","Approved","Zambia","Skill level 3",3
"2018","Approved","Zambia","Skill level 5",3
"2018","Approved","Zimbabwe","(not recorded)",60
"2018","Approved","Zimbabwe","Skill level 1",24
"2018","Approved","Zimbabwe","Skill level 2",3
"2018","Approved","Zimbabwe","Skill level 3",36
"2018","Approved","Zimbabwe","Skill level 4",6
"2018","Approved","Zimbabwe","Skill level 5",3
"2018","Declined","Afghanistan","(not recorded)",21
"2018","Declined","Afghanistan","Skill level 1",0
"2018","Declined","Afghanistan","Skill level 3",3
"2018","Declined","Albania","(not recorded)",6
"2018","Declined","Albania","Skill level 2",0
"2018","Declined","Albania","Skill level 3",3
"2018","Declined","Albania","Skill level 5",3
"2018","Declined","Algeria","(not recorded)",3
"2018","Declined","Algeria","Skill level 1",0
"2018","Declined","Algeria","Skill level 3",0
"2018","Declined","American Samoa","(not recorded)",0
"2018","Declined","Argentina","(not recorded)",102
"2018","Declined","Argentina","Skill level 1",21
"2018","Declined","Argentina","Skill level 2",12
"2018","Declined","Argentina","Skill level 3",9
"2018","Declined","Argentina","Skill level 4",12
"2018","Declined","Argentina","Skill level 5",36
"2018","Declined","Armenia","(not recorded)",3
"2018","Declined","Australia","(not recorded)",3
"2018","Declined","Austria","(not recorded)",15
"2018","Declined","Austria","Skill level 1",3
"2018","Declined","Austria","Skill level 2",3
"2018","Declined","Austria","Skill level 3",6
"2018","Declined","Austria","Skill level 4",3
"2018","Declined","Bangladesh","(not recorded)",51
"2018","Declined","Bangladesh","Skill level 1",9
"2018","Declined","Bangladesh","Skill level 2",18
"2018","Declined","Bangladesh","Skill level 3",21
"2018","Declined","Bangladesh","Skill level 4",15
"2018","Declined","Bangladesh","Skill level 5",3
"2018","Declined","Belgium","(not recorded)",48
"2018","Declined","Belgium","Skill level 1",3
"2018","Declined","Belgium","Skill level 2",3
"2018","Declined","Belgium","Skill level 3",3
"2018","Declined","Belgium","Skill level 4",3
"2018","Declined","Bolivia","(not recorded)",3
"2018","Declined","Bolivia","Skill level 4",0
"2018","Declined","Bosnia & Herzegovina","(not recorded)",0
"2018","Declined","Bosnia & Herzegovina","Skill level 3",3
"2018","Declined","Brazil","(not recorded)",156
"2018","Declined","Brazil","Skill level 1",21
"2018","Declined","Brazil","Skill level 2",45
"2018","Declined","Brazil","Skill level 3",75
"2018","Declined","Brazil","Skill level 4",15
"2018","Declined","Brazil","Skill level 5",66
"2018","Declined","Bulgaria","(not recorded)",6
"2018","Declined","Cambodia","(not recorded)",42
"2018","Declined","Cambodia","Skill level 2",3
"2018","Declined","Cambodia","Skill level 3",9
"2018","Declined","Cambodia","Skill level 4",0
"2018","Declined","Cambodia","Skill level 5",0
"2018","Declined","Canada","(not recorded)",261
"2018","Declined","Canada","Skill level 1",21
"2018","Declined","Canada","Skill level 2",9
"2018","Declined","Canada","Skill level 3",12
"2018","Declined","Canada","Skill level 4",6
"2018","Declined","Canada","Skill level 5",6
"2018","Declined","Chad","(not recorded)",0
"2018","Declined","Chile","(not recorded)",90
"2018","Declined","Chile","Skill level 1",12
"2018","Declined","Chile","Skill level 2",18
"2018","Declined","Chile","Skill level 3",21
"2018","Declined","Chile","Skill level 4",6
"2018","Declined","Chile","Skill level 5",30
"2018","Declined","China","(not recorded)",1248
"2018","Declined","China","Skill level 1",273
"2018","Declined","China","Skill level 2",363
"2018","Declined","China","Skill level 3",303
"2018","Declined","China","Skill level 4",120
"2018","Declined","China","Skill level 5",42
"2018","Declined","Colombia","(not recorded)",18
"2018","Declined","Colombia","Skill level 1",6
"2018","Declined","Colombia","Skill level 2",6
"2018","Declined","Colombia","Skill level 3",6
"2018","Declined","Colombia","Skill level 4",3
"2018","Declined","Colombia","Skill level 5",6
"2018","Declined","Costa Rica","(not recorded)",0
"2018","Declined","Costa Rica","Skill level 1",0
"2018","Declined","Croatia","(not recorded)",6
"2018","Declined","Croatia","Skill level 1",0
"2018","Declined","Croatia","Skill level 2",0
"2018","Declined","Croatia","Skill level 3",3
"2018","Declined","Croatia","Skill level 5",0
"2018","Declined","Cyprus","(not recorded)",0
"2018","Declined","Cyprus","Skill level 2",0
"2018","Declined","Cyprus","Skill level 3",0
"2018","Declined","Czech Republic","(not recorded)",42
"2018","Declined","Czech Republic","Skill level 1",3
"2018","Declined","Czech Republic","Skill level 2",6
"2018","Declined","Czech Republic","Skill level 3",9
"2018","Declined","Czech Republic","Skill level 4",9
"2018","Declined","Czech Republic","Skill level 5",9
"2018","Declined","Democratic Republic of Congo","(not recorded)",0
"2018","Declined","Democratic Republic of Congo","Skill level 3",0
"2018","Declined","Denmark","(not recorded)",24
"2018","Declined","Denmark","Skill level 1",6
"2018","Declined","Denmark","Skill level 2",3
"2018","Declined","Denmark","Skill level 3",6
"2018","Declined","Denmark","Skill level 4",0
"2018","Declined","Denmark","Skill level 5",3
"2018","Declined","Dominican Republic","(not recorded)",3
"2018","Declined","Ecuador","(not recorded)",3
"2018","Declined","Ecuador","Skill level 4",3
"2018","Declined","Egypt","(not recorded)",45
"2018","Declined","Egypt","Skill level 1",6
"2018","Declined","Egypt","Skill level 2",0
"2018","Declined","Egypt","Skill level 3",3
"2018","Declined","Egypt","Skill level 5",3
"2018","Declined","El Salvador","Skill level 2",0
"2018","Declined","El Salvador","Skill level 3",3
"2018","Declined","Eritrea","(not recorded)",0
"2018","Declined","Estonia","(not recorded)",9
"2018","Declined","Estonia","Skill level 3",0
"2018","Declined","Ethiopia","(not recorded)",9
"2018","Declined","Ethiopia","Skill level 1",3
"2018","Declined","Fiji","(not recorded)",495
"2018","Declined","Fiji","Skill level 1",45
"2018","Declined","Fiji","Skill level 2",63
"2018","Declined","Fiji","Skill level 3",255
"2018","Declined","Fiji","Skill level 4",261
"2018","Declined","Fiji","Skill level 5",48
"2018","Declined","Finland","(not recorded)",168
"2018","Declined","Finland","Skill level 2",3
"2018","Declined","Finland","Skill level 3",3
"2018","Declined","Finland","Skill level 4",3
"2018","Declined","Finland","Skill level 5",0
"2018","Declined","France","(not recorded)",204
"2018","Declined","France","Skill level 1",24
"2018","Declined","France","Skill level 2",24
"2018","Declined","France","Skill level 3",24
"2018","Declined","France","Skill level 4",15
"2018","Declined","France","Skill level 5",15
"2018","Declined","Georgia","(not recorded)",0
"2018","Declined","Germany","(not recorded)",207
"2018","Declined","Germany","Skill level 1",12
"2018","Declined","Germany","Skill level 2",18
"2018","Declined","Germany","Skill level 3",24
"2018","Declined","Germany","Skill level 4",9
"2018","Declined","Germany","Skill level 5",6
"2018","Declined","Ghana","(not recorded)",3
"2018","Declined","Ghana","Skill level 1",0
"2018","Declined","Ghana","Skill level 3",3
"2018","Declined","Greece","(not recorded)",3
"2018","Declined","Greece","Skill level 2",3
"2018","Declined","Greece","Skill level 3",3
"2018","Declined","Guatemala","Skill level 1",0
"2018","Declined","Guinea","Skill level 1",0
"2018","Declined","Hong Kong","(not recorded)",54
"2018","Declined","Hong Kong","Skill level 1",3
"2018","Declined","Hong Kong","Skill level 2",6
"2018","Declined","Hong Kong","Skill level 3",0
"2018","Declined","Hong Kong","Skill level 4",0
"2018","Declined","Hong Kong","Skill level 5",0
"2018","Declined","Hungary","(not recorded)",9
"2018","Declined","Hungary","Skill level 1",3
"2018","Declined","Hungary","Skill level 2",0
"2018","Declined","Hungary","Skill level 3",3
